transcript_id	value_1	value_2	value_3	log2FC	p_value	DEI	sample_pair	Gene_Id
ENST00000377507	0.11354002	0.1081853	0.110520345	0.383268237	0.000237897	non-DEI	M8/D6	M8-TNFRSF9
ENST00000005260	0.039489949	0.040899296	0.039704638	-0.44261145	3.16511E-05	non-DEI	M8/D6	M8-BAIAP2L1
ENST00000335661	0.107813921	0.107924159	0.109224068	-1.43150276	0.000434175	down-regulate	M8/D6	M8-BCL2A1
ENST00000321870	0.001434697	0.001113202	0.001042131	0.683115429	0.065405928	non-DEI	M8/D6	M8-BHLHE22
ENST00000329759	0.092436331	0.089759545	0.100584343	0.30612674	0.005651223	non-DEI	M8/D6	M8-FAM43A
ENST00000255695	0.004249952	0.003902977	0.003969881	-0.342604808	0.000887264	non-DEI	M8/D6	M8-PLAAT2
ENST00000313104	0.017834222	0.017915373	0.018817627	-3.672760817	2.90015E-09	down-regulate	M8/D6	M8-RPLPO
ENST00000455959	0.018053444	0.013498334	0.018260121	-0.931607592	0.001253861	non-DEI	M8/D6	M8-SEC11A
ENST00000367495	0.00787702	0.009848461	0.007817728	-0.997761639	0.000741651	non-DEI	M8/D6	M8-RAB32
ENST00000379287	0.216114158	0.152283347	0.200476523	0.059439618	0.779179166	non-DEI	M8/D6	M8-GFOD1
ENST00000370078	0.08581721	0.093850967	0.080110927	0.040377042	0.623098738	non-DEI	M8/D6	M8-PRM76
ENST00000427159	0.126623883	0.160441668	0.11223978	-0.243391473	0.263697711	non-DEI	M8/D6	M8-FTSJ3
ENST00000380752	0.180671247	0.140968502	0.182139003	-0.242170598	0.154204052	non-DEI	M8/D6	M8-SLC7A1
ENST00000311177	0.05255408	0.048592679	0.057132548	0.654562431	0.007354338	non-DEI	M8/D6	M8-HOXB9
ENST00000381077	0.302192654	0.231625787	0.230511363	0.310169781	0.178405617	non-DEI	M8/D6	M8-PUDP
ENSG00000021355	0.153305288	0.181169718	0.15152482	-0.5483262	0.030176588	non-DEI	M8/D6	M8-SERPINB1
