ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	511,524,529	17,4,20	447,596,473	34,23,36	198	99
1	7,11,12	0,0,1	9,5,4	0,1,0	144	99
2	3,2,0	18,4,2	1,1,0	2,2,2	198	99
3	187,192,168	3,1,1	383,344,401	0,2,4	174	99
4	19,18,10	683,665,645	3,12,2	1130,1221,1137	198	99
6	4,3,5	67,71,70	4,3,2	58,81,53	113	99
7	7,3,10	0,0,0	2,4,0	0,3,1	163	99
8	1,0,1	1099,1037,1072	1,0,0	521,541,552	138	99
9	0,1,2	18,10,9	4,2,1	17,13,30	102	99
11	4,6,4	42,37,42	7,12,15	13,28,21	198	99
12	0,0,3	3,0,0	0,0,0	0,0,1	198	99
13	17,17,11	4,2,10	7,10,1	14,22,11	198	99
14	157,216,211	0,1,0	149,182,209	0,0,0	198	99
16	2,0,0	487,489,439	1,0,0	478,482,479	198	99
17	145,114,160	2003,1926,1956	264,257,315	985,958,995	100	99
18	0,2,1	1,1,2	1,0,1	3,5,4	114	99
21	613,529,546	17,24,11	618,596,627	15,12,14	140	99
22	62,56,68	36,39,25	56,80,77	40,33,35	123	99
23	4,6,2	3,5,3	7,5,8	2,2,2	198	99
24	0,0,1	11,5,7	1,0,0	8,7,5	198	99
25	8,11,12	262,327,272	7,12,8	250,259,265	128	99
27	71,91,46	0,0,0	36,27,37	0,1,1	198	99
28	8,3,6	0,0,0	11,5,4	1,1,1	146	99
29	0,0,0	406,407,423	1,0,1	208,204,183	169	99
30	1,1,1	22,29,16	1,0,3	53,52,38	140	99
31	4,5,4	745,720,677	2,4,5	696,729,702	198	99
32	1,2,2	0,2,0	1,1,1	0,1,1	179	99
33	25,3,14	18,26,24	32,5,16	22,3,11	144	99
34	64,59,71	9,12,11	75,80,70	20,25,18	149	99
35	39,28,42	85,67,58	29,29,43	77,66,71	125	99
36	1191,1318,1366	2,2,5	1284,1326,1257	0,1,7	198	99
37	5,12,6	0,0,1	13,13,11	1,0,0	167	99
38	23,17,9	7,7,10	16,13,21	13,21,16	192	99
39	6,7,6	16,19,6	4,24,15	4,7,7	190	99
40	596,677,710	1,0,0	669,654,604	1,0,1	188	99
41	343,317,302	8,13,4	143,129,144	11,2,11	161	99
42	88,87,86	0,2,0	109,100,89	1,0,0	100	99
43	103,101,99	1,2,3	58,52,65	2,1,1	134	99
44	157,179,163	20,30,23	327,317,320	10,21,18	198	99
45	0,0,1	42,39,55	0,0,0	21,23,29	198	99
46	3,3,2	0,1,0	5,1,1	1,0,1	198	99
47	0,1,0	15,14,12	0,5,5	2,6,6	198	99
48	2085,2011,1854	0,1,2	975,1079,998	0,0,1	195	99
49	89,90,68	0,1,1	72,67,83	2,1,1	163	99
50	41,40,44	243,276,278	47,48,52	469,504,490	198	99
51	124,129,119	1,2,4	137,123,126	4,5,4	198	99
52	150,130,150	17,20,22	83,89,71	27,16,24	191	99
53	6,7,13	2,2,0	16,13,19	1,2,1	109	99
54	145,125,99	17,12,10	63,62,70	47,28,28	198	99
55	1,6,1	1,2,6	2,2,1	2,3,2	153	99
56	0,1,0	50,47,42	0,1,1	36,47,31	101	99
57	8,13,13	1,3,0	17,18,18	0,1,1	198	99
58	33,27,28	4,6,5	31,29,31	8,5,2	112	99
59	2,4,3	1529,1656,1667	3,3,3	825,796,850	174	99
60	33,35,35	51,56,49	23,15,17	55,48,36	198	99
61	314,308,313	24,23,17	300,266,287	42,51,48	198	99
62	40,46,47	4,2,0	56,44,46	1,3,0	198	99
63	0,0,1	103,72,81	1,0,1	68,105,83	126	99
64	1149,1233,1154	56,50,55	2356,2289,2391	13,30,22	198	99
65	21,6,9	414,436,423	6,8,4	917,791,881	198	99
67	2,1,0	189,171,178	1,1,4	94,87,100	198	99
68	7,13,12	823,817,872	16,13,8	1692,1664,1725	198	99
69	2,2,3	32,35,31	4,2,3	32,24,32	162	99
71	192,167,145	334,299,268	65,91,80	332,327,335	198	99
72	386,438,430	2,5,5	455,427,459	6,5,1	198	99
73	3,5,5	0,0,1	3,5,9	0,0,0	198	99
74	0,2,0	18,15,12	0,3,1	7,5,2	128	99
75	417,416,417	1,3,4	415,447,434	14,7,2	101	99
76	11,9,15	1,1,1	11,9,10	2,0,3	198	99
77	87,104,103	1,1,1	71,63,91	1,1,1	146	99
78	108,128,101	9,13,14	121,110,116	26,15,33	198	99
79	15,14,23	20,4,13	21,13,15	7,9,8	198	99
80	83,90,96	1,1,0	73,79,86	0,2,1	198	99
81	12,7,8	0,2,0	7,11,12	0,0,0	198	99
82	325,252,361	237,237,271	296,384,265	237,270,207	196	99
83	1,4,1	5,6,4	3,1,2	11,11,7	147	99
84	0,0,0	2,1,4	0,0,2	1,0,0	198	99
85	3,0,4	12,15,14	0,0,2	21,10,17	198	99
87	16,23,18	0,1,0	21,16,17	1,0,0	196	99
88	1631,1609,1556	3,9,6	1601,1633,1610	3,5,3	198	99
89	38,41,46	131,140,141	34,39,28	132,136,133	124	99
90	1,0,2	67,56,64	1,1,4	79,70,65	169	99
