ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	37,54,23	24,28,19	39,33,44	34,46,29	142	99
1	554,549,640	110,142,86	557,494,530	100,78,72	273	99
2	168,200,148	149,137,109	337,300,337	64,67,58	208	99
3	172,137,148	188,193,146	155,174,163	218,212,189	105	99
4	9,19,15	326,321,306	13,7,7	295,304,316	207	99
5	0,0,0	1,0,0	1,0,0	0,0,0	124	99
6	1,0,0	22,14,15	0,3,0	16,8,11	230	99
7	19,42,15	476,549,521	30,28,40	507,509,487	117	99
8	81,88,90	3221,3217,3188	88,81,92	3207,3183,3200	123	99
9	25,30,14	3383,3297,3291	56,58,56	1661,1674,1597	140	99
10	5,9,13	29,19,15	7,42,12	9,10,13	471	99
11	11,13,9	723,738,683	19,34,20	1526,1462,1397	136	99
12	88,127,128	41,56,50	190,226,206	17,15,13	122	99
13	4,5,3	1226,1296,1359	5,10,10	2472,2402,2371	134	99
15	0,0,4	237,231,235	0,0,1	114,94,105	227	99
16	1041,1048,1007	14,21,17	2063,2079,2030	8,11,3	132	99
17	0,2,1	5,3,3	2,6,1	1,2,5	114	99
19	3031,2934,2881	156,162,151	2900,2850,3055	143,152,153	187	99
20	599,232,586	1684,1593,1695	1146,1123,1073	821,786,824	160	99
21	14,11,12	31,45,19	26,6,19	31,42,36	134	99
22	1728,1795,1777	169,151,169	3547,3596,3450	64,89,81	153	99
23	1142,1159,1204	340,347,304	1187,1121,1147	273,373,308	107	99
24	395,380,423	6,1,2	378,381,390	1,4,0	1108	99
25	15,12,13	124,125,124	26,30,19	66,58,66	112	99
26	62,48,50	9981,8453,8657	51,53,65	8603,8799,8644	137	99
27	86,92,80	1942,1886,1868	55,39,61	1898,1857,1939	152	99
28	170,163,118	37,30,33	175,175,120	35,39,40	104	99
29	836,838,842	2647,2690,2685	1636,1738,1631	1230,1226,1298	135	99
30	6,11,17	3,1,2	30,35,27	1,1,0	322	99
31	182,207,189	1771,1738,1679	71,82,87	1775,1783,1775	191	99
32	34,48,35	1755,1702,1759	36,33,25	1751,1739,1717	228	99
33	1,0,0	2,5,1	0,0,0	5,1,1	112	99
34	1,2,1	74,53,42	0,2,0	29,23,20	209	99
35	1,1,1	162,190,155	1,1,1	285,357,350	107	99
36	1,0,2	5,3,2	2,1,0	6,3,0	246	99
37	198,153,171	0,1,2	363,306,303	0,0,0	283	99
38	0,1,1	78,80,95	1,2,1	69,65,81	118	99
39	103,115,94	5,3,7	237,221,206	7,2,3	214	99
40	31,22,34	1,6,1	29,25,21	2,0,2	106	99
41	4,17,11	121,132,140	6,10,5	131,119,130	146	99
42	2,2,1	56,56,65	2,3,1	60,62,57	148	99
43	74,80,62	210,183,165	62,80,74	181,166,178	133	99
44	8,13,10	15,15,18	11,21,28	10,9,10	1209	99
45	128,101,113	0,3,0	229,248,213	0,1,0	118	99
46	1702,1763,1740	54,55,52	1751,1749,1655	66,75,57	119	99
47	5,2,1	0,3,2	1,0,2	0,6,3	330	99
48	29,58,34	1,2,4	66,58,82	1,0,1	220	99
49	10,34,13	1,1,1	3,15,6	1,1,1	139	99
50	26,30,49	0,0,1	11,11,5	0,1,0	450	99
51	0,0,1	1,2,5	0,0,0	3,3,3	111	99
52	66,53,72	13,17,10	121,118,137	13,7,5	107	99
53	411,412,375	1,1,0	415,412,402	4,0,2	351	99
54	8,23,11	8,0,3	22,17,31	5,6,2	179	99
55	3851,3818,3813	1,1,2	1959,1893,1985	1,2,1	118	99
56	16,18,13	3,0,6	13,20,24	1,1,6	190	99
57	94,50,92	1060,1060,1027	182,168,203	538,509,451	230	99
58	2,0,1	2,3,7	2,0,1	1,3,4	145	99
59	17,11,12	52,30,44	18,15,10	38,34,34	111	99
60	1118,1062,1046	75,78,73	1035,1089,1092	68,54,62	126	99
61	4,4,9	60,67,78	11,6,14	27,35,40	101	99
62	0,1,2	1,1,0	2,0,0	2,2,0	1179	99
63	1440,1558,1286	1,1,1	1418,1534,1411	0,0,0	280	99
64	8,9,5	3,1,1	4,9,11	0,2,2	154	99
65	4,2,4	21,16,25	5,3,11	10,16,13	124	99
66	197,220,211	186,206,176	359,425,444	101,118,103	149	99
67	4,2,1	92,79,114	1,2,0	50,37,37	165	99
68	18,11,7	1,2,3	10,3,7	1,0,3	268	99
69	3,1,2	46,45,51	3,2,6	41,30,45	189	99
70	0,1,0	3,1,1	8,0,3	0,0,0	138	99
71	8,15,6	54,51,57	5,1,0	47,76,61	830	99
72	27,12,12	188,178,151	36,41,42	75,99,79	380	99
73	11,8,1	35,29,22	7,2,8	59,51,49	149	99
74	8,17,30	236,247,203	19,7,28	489,460,457	322	99
75	625,593,643	176,168,193	1278,1140,1226	87,97,88	247	99
76	12,11,14	182,165,189	11,4,5	184,197,157	132	99
78	0,0,0	45,40,41	1,0,0	45,48,48	128	99
79	31,32,23	1,3,2	26,38,36	1,0,4	127	99
81	18,17,18	0,0,0	7,5,7	0,1,2	204	99
84	13,12,8	3,2,1	14,10,12	2,0,1	164	99
85	4,3,3	46,44,58	2,1,2	20,17,19	135	99
86	25,30,20	144,116,120	44,58,38	68,51,77	186	99
87	55,56,63	1,2,0	71,50,61	0,0,1	439	99
88	514,497,578	269,269,288	268,298,283	506,547,569	132	99
89	3,4,10	30,36,40	3,3,6	27,30,30	263	99
90	77,50,81	2,1,0	58,63,65	0,0,0	153	99
92	0,1,1	7,8,9	5,3,1	15,20,9	110	99
93	168,194,215	2,1,1	175,255,135	1,0,0	299	99
95	2,1,4	15,14,20	2,1,0	20,14,17	200	99
96	119,111,112	1766,1725,1727	154,140,125	1709,1688,1772	162	99
97	8,12,6	0,1,1	16,16,11	0,1,1	146	99
98	28,15,20	24,20,16	57,43,47	15,17,13	137	99
99	1,2,2	65,75,59	0,1,4	88,75,64	171	99
100	1067,1149,1162	0,1,0	1216,1092,1182	0,0,0	247	99
101	36,41,37	25,31,35	37,31,40	84,57,61	133	99
102	38,39,38	628,587,597	8,16,20	572,546,568	127	99
103	869,917,974	8,7,6	1869,1917,1803	4,4,2	134	99
104	0,0,4	2,1,2	4,1,3	3,1,1	126	99
105	0,2,0	77,83,88	0,0,1	152,133,166	136	99
106	45,44,36	992,981,910	49,31,47	976,942,946	218	99
108	0,0,0	66,74,72	0,2,0	63,77,59	814	99
109	292,321,311	289,283,292	625,631,643	150,114,150	190	99
111	36,27,30	24,24,20	39,26,33	25,29,39	144	99
113	31312,31145,31005	5,4,5	61830,62661,62414	8,3,9	133	99
114	18,23,20	0,1,2	17,10,21	0,1,1	131	99
115	3,7,7	0,1,1	15,9,16	0,0,0	221	99
116	18,23,23	2,2,0	30,23,26	1,0,2	124	99
117	0,1,1	16,11,23	0,1,0	13,14,23	229	99
118	9962,9863,9923	307,314,300	9851,9733,9799	316,291,305	489	99
120	33,34,32	20,19,14	23,25,33	18,16,14	280	99
122	247,268,243	1,5,1	508,419,480	2,1,3	218	99
123	429,442,416	12,11,17	461,464,464	13,13,10	926	99
124	163,200,202	7292,7169,7283	127,104,89	3647,3652,3623	187	99
125	624,702,706	1,1,0	1292,1347,1329	0,0,0	258	99
126	1,0,0	1,3,3	0,0,1	0,0,1	112	99
127	42,41,37	292,283,282	48,49,51	294,292,278	197	99
128	14,15,11	0,0,0	14,14,23	0,0,1	120	99
129	944,835,885	1,3,3	863,842,899	0,3,1	174	99
130	114,112,116	676,732,711	51,41,52	723,729,653	119	99
131	9,19,17	1,0,1	14,17,17	0,3,1	128	99
132	5,14,13	2,1,0	12,16,15	0,0,0	102	99
133	306,259,280	8,10,8	549,605,619	5,6,0	129	99
134	0,1,0	1,2,0	0,0,1	1,1,1	100	99
135	0,0,0	8,9,5	3,4,2	4,1,2	158	99
136	215,221,255	7,16,15	496,453,519	3,3,9	170	99
138	752,723,777	2,0,3	1567,1552,1495	1,0,3	165	99
139	1,6,4	28,19,20	6,1,6	17,13,12	298	99
140	35,32,31	95,105,98	57,66,56	51,47,48	136	99
141	0,0,0	1,0,0	1,0,1	1,0,0	471	99
143	213,155,158	0,0,0	224,173,207	1,0,0	211	99
145	1936,1792,1873	6,6,5	1938,1896,1821	18,13,19	199	99
146	5,2,3	13,13,11	6,13,8	3,4,9	114	99
147	1743,1778,1686	12,15,14	3577,3545,3501	8,11,6	1466	99
148	8,11,16	154,162,127	6,5,13	129,152,138	172	99
149	61,47,70	4872,4797,4794	103,135,125	2443,2417,2385	125	99
150	551,536,611	4,2,3	1295,1188,1219	1,0,1	200	99
151	59,29,49	0,5,3	92,97,105	0,1,2	116	99
152	3152,3203,3107	3,0,1	6540,6403,6522	1,0,4	141	99
153	379,334,332	425,408,434	384,358,378	395,451,425	224	99
154	1,0,1	33,20,21	0,1,0	20,12,12	334	99
155	39,47,36	5,8,4	47,31,42	3,6,7	106	99
156	1397,1373,1416	1,0,0	1405,1300,1481	1,1,0	1015	99
157	256,261,239	0,1,0	492,571,559	0,0,0	814	99
159	121,123,167	1,1,1	157,171,133	1,1,1	520	99
160	15,15,20	24,17,13	16,28,30	20,24,14	281	99
161	20,9,25	179,212,188	16,4,10	377,344,348	306	99
162	320,310,322	1,2,0	608,586,616	0,1,0	149	99
163	48,55,67	1,1,2	53,47,54	0,2,0	110	99
164	1,0,2	3,7,5	2,2,4	3,0,0	126	99
165	8714,8517,8397	12,7,6	17097,17184,17414	4,4,3	1216	99
166	4,3,4	10,10,7	8,8,7	4,5,1	168	99
167	1466,1560,1491	1,0,0	2926,2888,2912	0,0,0	292	99
168	10,31,6	18,20,27	3,32,57	4,11,1	111	99
169	0,0,0	6,17,8	1,1,1	23,44,36	124	99
171	19,6,15	409,403,431	19,16,7	222,215,224	699	99
172	121,111,118	135,139,125	226,178,234	64,70,70	354	99
173	51,52,68	0,0,0	121,133,137	1,0,1	157	99
174	224,229,240	4528,4596,4541	196,208,219	4619,4539,4538	120	99
