ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	14297,14521,14414	0,0,7	14571,14383,14390	0,0,0	143	99
1	2410,3045,3269	1,1,0	3174,3204,3150	0,1,0	267	99
2	3164,2970,2552	0,0,1	3106,3170,3202	0,0,0	267	99
3	54,58,68	165,138,141	73,62,64	221,219,193	167	99
4	83,93,101	141,115,162	111,101,112	215,216,216	265	99
5	97,98,104	44,57,55	143,140,144	32,22,23	167	99
6	9,17,7	26,32,31	13,13,14	30,30,18	198	99
7	13,11,7	34,39,27	12,15,12	29,35,21	208	99
8	11,7,3	10,16,19	18,11,15	10,18,7	354	99
9	1088,1335,1076	1,0,1	1376,1374,1416	0,0,0	890	99
10	43,61,37	0,1,0	36,57,33	0,0,0	333	99
11	1,2,2	799,833,779	4,0,0	828,792,869	834	99
12	2,2,0	24,21,33	0,1,0	44,36,29	282	99
13	24,30,30	5,1,4	46,49,39	2,2,3	490	99
15	435,411,416	0,1,0	208,196,223	1,0,0	165	99
16	10,12,13	196,288,283	36,20,32	135,162,153	222	99
17	491,678,569	0,2,2	356,320,394	0,0,0	236	99
18	1,2,0	0,0,2	0,1,1	0,0,0	202	99
19	8,1,1	4,9,5	3,3,6	20,22,17	151	99
20	1673,418,1344	0,0,1	3057,883,2362	0,0,0	435	99
23	79,78,69	11,20,11	152,129,152	6,9,3	295	99
24	21,29,13	142,128,157	35,35,30	67,76,68	258	99
25	124,135,121	95,124,115	225,262,266	54,40,82	382	99
27	161,146,160	0,0,0	309,288,280	0,0,1	302	99
28	52,38,63	2,1,0	78,51,55	2,0,1	961	99
30	10,16,2	1,0,2	1,6,2	0,1,0	272	99
31	34,32,31	139,138,112	60,53,50	75,65,66	794	99
32	170,211,196	2,2,3	228,200,227	2,3,2	253	99
33	14,17,18	1,1,2	16,20,16	0,0,0	150	99
34	160,199,199	5,2,1	83,88,85	2,6,3	245	99
35	1079,1059,1036	383,388,374	504,541,542	668,677,672	202	99
36	732,1324,830	0,0,0	614,566,686	1,2,0	263	99
37	1,3,3	166,142,137	1,1,2	277,301,302	151	99
38	1,3,3	25,39,47	1,1,2	8,14,22	272	99
39	0,1,0	140,153,136	0,0,0	276,279,261	151	99
40	3,5,2	3,0,2	5,6,5	1,2,3	218	99
41	49,43,56	13,6,13	106,110,98	6,3,3	201	99
42	1,3,6	39,30,33	9,6,0	38,36,45	287	99
43	5,3,7	12722,13118,14312	18,17,11	7190,6435,6452	365	99
44	204,189,196	0,3,0	210,207,183	0,3,0	447	99
45	28672,28583,28227	118,101,121	57152,56973,56735	52,61,65	226	99
46	9,10,12	0,3,0	12,11,12	0,0,0	329	99
47	4,12,5	11,20,16	10,11,6	10,11,10	599	99
49	1,2,0	0,1,1	1,0,0	1,0,0	188	99
50	163,154,146	0,172,160	157,155,135	348,291,348	435	99
52	2,1,5	14,16,19	1,1,0	18,14,20	221	99
53	3,1,6	0,0,0	1,0,2	0,1,0	152	99
54	1,0,1	1,0,2	1,1,1	0,0,2	309	99
55	1,1,3	0,0,1	2,0,3	0,1,0	311	99
56	2,0,4	1,0,0	3,2,2	1,0,0	309	99
57	2,3,2	0,1,0	5,2,0	1,0,0	151	99
58	2,0,0	0,1,0	2,0,1	2,0,0	272	99
59	1,1,0	0,0,0	0,0,3	1,0,1	151	99
60	7,6,11	0,3,0	32,6,5	1,1,0	272	99
61	7,6,10	2,1,0	27,4,3	5,0,4	272	99
62	6,3,7	0,0,1	6,1,1	8,2,2	151	99
