"ASE","compare","Freq","mean_delta_psi_mean","uncertainty","isoform_compare","alternative_transcripts","total_transcripts","classification"
"ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:-","D5/D6",2,-0.101381454,-2.61078010241519,"ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:- D5/D6","ENST00000466152.5,ENST00000684193.1,ENST00000684708.1","ENST00000466152.5,ENST00000682713.1,ENST00000684193.1,ENST00000684708.1,ENST00000683466.1,ENST00000683048.1","Low Confidence"
"ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:-","M8/D6",2,-0.0309426017285714,-78.4111729978588,"ENSG00000000419.14;SE:chr20:50936262-50940865:50940955-50942031:- M8/D6","ENST00000466152.5,ENST00000684193.1,ENST00000684708.1","ENST00000466152.5,ENST00000682713.1,ENST00000684193.1,ENST00000684708.1,ENST00000683466.1,ENST00000683048.1","Low Confidence"
"ENSG00000001167.15;SE:chr6:41079164-41080811:41080897-41084046:+","D5/D6",2,-0.00526158336428571,-153.605688448447,"ENSG00000001167.15;SE:chr6:41079164-41080811:41080897-41084046:+ D5/D6","ENST00000341376.11","ENST00000341376.11,ENST00000353205.5","Low Confidence"
"ENSG00000001167.15;SE:chr6:41079164-41080811:41080897-41084046:+","M8/D6",3,-0.0631180475,-18.0263997240931,"ENSG00000001167.15;SE:chr6:41079164-41080811:41080897-41084046:+ M8/D6","ENST00000341376.11","ENST00000341376.11,ENST00000353205.5","Medium Confidence"
"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+","D5/D6",2,0.0396642335071428,15.9565176888506,"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ D5/D6","ENST00000339255.2","ENST00000003912.7,ENST00000339255.2,ENST00000374399.9","Low Confidence"
"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+","F7/D6",2,0.0641204601571428,2.22463720751519,"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ F7/D6","ENST00000339255.2","ENST00000003912.7,ENST00000339255.2,ENST00000374399.9","Low Confidence"
"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+","M8/D6",3,0.0848587220904762,14.3421889660616,"ENSG00000001461.17;AL:chr1:24464120-24466004:24466310:24464120-24468986:24472976:+ M8/D6","ENST00000339255.2","ENST00000003912.7,ENST00000339255.2,ENST00000374399.9","Medium Confidence"
"ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:-","F7/D6",3,0.0802806467333332,12.3318396456551,"ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:- F7/D6","ENST00000374811.8,ENST00000484069.1,ENST00000677087.1,ENST00000677986.1,ENST00000678956.1,ENST00000679261.1,ENST00000679056.1,ENST00000678173.1,ENST00000678823.1","ENST00000677969.1,ENST00000677056.1,ENST00000484069.1,ENST00000679056.1,ENST00000677154.1,ENST00000677834.1,ENST00000374807.9,ENST00000678956.1,ENST00000676986.1,ENST00000678173.1,ENST00000677087.1,ENST00000374804.9,ENST00000678570.1,ENST00000678823.1,ENST00000679261.1,ENST00000374811.8,ENST00000677986.1","Medium Confidence"
"ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:-","M8/D6",3,0.0396291166952381,31.7429975916573,"ENSG00000001497.18;SE:chrX:65524262-65524564:65524614-65524965:- M8/D6","ENST00000374811.8,ENST00000484069.1,ENST00000677087.1,ENST00000677986.1,ENST00000678956.1,ENST00000679261.1,ENST00000679056.1,ENST00000678173.1,ENST00000678823.1","ENST00000677969.1,ENST00000677056.1,ENST00000484069.1,ENST00000679056.1,ENST00000677154.1,ENST00000677834.1,ENST00000374807.9,ENST00000678956.1,ENST00000676986.1,ENST00000678173.1,ENST00000677087.1,ENST00000374804.9,ENST00000678570.1,ENST00000678823.1,ENST00000679261.1,ENST00000374811.8,ENST00000677986.1","Medium Confidence"
"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-","D5/D6",2,0.0448361891571429,32.5595845744302,"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- D5/D6","ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1","Low Confidence"
"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-","F7/D6",2,-0.0213214438571429,-75.5480510978796,"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- F7/D6","ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1","Low Confidence"
"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:-","M8/D6",2,0.0389581057285715,31.7314179577184,"ENSG00000001631.17;A5:chr7:92245171-92245790:92245171-92245906:- M8/D6","ENST00000394505.7,ENST00000686785.1,ENST00000688781.1,ENST00000425073.2,ENST00000454017.6,ENST00000689778.1,ENST00000689539.1,ENST00000394503.6,ENST00000686233.1,ENST00000413688.6","ENST00000689778.1,ENST00000689539.1,ENST00000684808.1,ENST00000686233.1,ENST00000454017.6,ENST00000425073.2,ENST00000688781.1,ENST00000413688.6,ENST00000445516.2,ENST00000394505.7,ENST00000458177.7,ENST00000686785.1,ENST00000394503.6,ENST00000686094.1","Low Confidence"
"ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:-","D5/D6",2,0.0467874106571428,55.5790759105501,"ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:- D5/D6","ENST00000399654.6","ENST00000399654.6,ENST00000265854.12","Low Confidence"
"ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:-","M8/D6",2,0.0375314805,20.3492170487956,"ENSG00000002822.16;A3:chr7:2230764-2232872:2230727-2232872:- M8/D6","ENST00000399654.6","ENST00000399654.6,ENST00000265854.12","Low Confidence"
"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+","D5/D6",3,0.085614039442857,15.900148171157,"ENSG00000003402.21;AF:chr2:201116167:201116481-201129729:201118491:201118901-201129729:+ D5/D6","ENST00000341222.10","ENST00000341222.10,ENST00000423241.6","Medium Confidence"
