# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	junction_name	junction_coord	denovo	intron	reference_exon_coord	spliced_with_coord	exons_skipped_coords	num_skipped_exons	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000117154_1	ENSG00000117154	ENSG00000117154	1	+	ENSG00000117154:s:18107798-18108198	ENSG00000117154_1_MES_1	False	Distal	18108198-18365223	False	False	18107798-18108198	18365223-18365697	18227898-18228010;18278845-18278884;18291866-18291987;18334892-18335010;18361367-18362230	5	False	False	False	417	805	8.820e-01	9.621e-01	9.546e-02	4.005e-13	2.887e-02
ENSG00000117154_1	ENSG00000117154	ENSG00000117154	1	+	ENSG00000117154:s:18107798-18108198	ENSG00000117154_1_MES_1	False	Proximal	18108198-18227898	False	False	18107798-18108198	18227898-18228010	18227898-18228010;18278845-18278884;18291866-18291987;18334892-18335010;18361367-18362230	5	False	False	False	56	33	1.180e-01	3.789e-02	-9.546e-02	4.314e-20	2.887e-02
ENSG00000117154_1	ENSG00000117154	ENSG00000117154	1	+	ENSG00000117154:t:18365223-18365703	ENSG00000117154_1_MES_1	False	Distal	18108198-18365223	False	False	18365223-18365697	18107798-18108198	18227898-18228010;18278845-18278884;18291866-18291987;18334892-18335010;18361367-18362230	5	False	False	False	417	805	8.869e-01	9.614e-01	8.732e-02	4.441e-16	6.277e-02
ENSG00000117154_1	ENSG00000117154	ENSG00000117154	1	+	ENSG00000117154:t:18365223-18365703	ENSG00000117154_1_MES_1	False	Proximal	18362230-18365223	False	False	18107798-18108198	18361367-18362230	18227898-18228010;18278845-18278884;18291866-18291987;18334892-18335010;18361367-18362230	5	False	False	False	50	33	1.131e-01	3.855e-02	-8.732e-02	3.917e-20	6.277e-02
ENSG00000196550_1	ENSG00000196550	ENSG00000196550	1	-	ENSG00000196550:s:206204252-206204414	ENSG00000196550_1_MES_1	False	Distal	206199884-206204252	False	False	206204252-206204414	206199807-206199884	206201281-206202851;206203180-206203558;206203844-206204093	3	False	False	False	18	32	1.339e-01	3.361e-01	2.055e-01	5.376e-01	9.655e-04
ENSG00000196550_1	ENSG00000196550	ENSG00000196550	1	-	ENSG00000196550:s:206204252-206204414	ENSG00000196550_1_MES_1	False	Proximal	206204093-206204252	False	False	206204252-206204414	206203844-206204093	206201281-206202851;206203180-206203558;206203844-206204093	3	False	False	False	120	63	8.661e-01	6.639e-01	-2.055e-01	5.376e-01	9.655e-04
ENSG00000196550_1	ENSG00000196550	ENSG00000196550	1	-	ENSG00000196550:t:206199807-206199884	ENSG00000196550_1_MES_1	False	Distal	206199884-206204252	False	False	206199807-206199884	206204252-206204414	206201281-206202851;206203180-206203558;206203844-206204093	3	False	False	False	18	32	8.236e-02	2.243e-01	1.457e-01	1.172e-01	1.058e-02
ENSG00000196550_1	ENSG00000196550	ENSG00000196550	1	-	ENSG00000196550:t:206199807-206199884	ENSG00000196550_1_MES_1	False	Proximal	206199884-206201281	False	False	206204252-206204414	206201281-206202851	206201281-206202851;206203180-206203558;206203844-206204093	3	False	False	False	210	115	9.176e-01	7.757e-01	-1.457e-01	1.172e-01	1.058e-02
ENSG00000134697_4	ENSG00000134697	ENSG00000134697	1	-	ENSG00000134697:s:37582778-37583346	ENSG00000134697_4_MES_1	False	Distal	37575699-37582778	False	False	37582778-37583346	37575595-37575699	37576170-37576556;37581342-37581545;37582223-37582336	3	False	False	False	10	8	2.222e-01	1.992e-01	-1.304e-02	1.848e-03	4.410e-01
ENSG00000134697_4	ENSG00000134697	ENSG00000134697	1	-	ENSG00000134697:s:37582778-37583346	ENSG00000134697_4_MES_1	False	Proximal	37582336-37582778	False	False	37582778-37583346	37582223-37582336	37576170-37576556;37581342-37581545;37582223-37582336	3	False	False	False	38	34	7.778e-01	8.008e-01	1.304e-02	1.848e-03	4.410e-01
