ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000227070"	NA	chr1	+	51560881	51561651	51560881	51561023	51561470	51561651	0	71,86,169	2,1,8	143,104,108	3,0,1	546	99	0.014106325734	0.04719207154647273	0.866,0.94,0.793	0.896,1.0,0.951	-0.083
1	"ENSG00000169242"	NA	chr1	+	155131203	155133780	155131203	155131634	155133502	155133780	1	4,13,58	2,0,0	20,16,39	1,3,1	1967	99	0.0816274533361	0.22417091662451344	0.091,1.0,1.0	0.502,0.212,0.662	0.238
2	"ENSG00000117602"	NA	chr1	+	24502835	24507728	24502835	24503150	24507566	24507728	2	2916,2764,2806	30,34,39	1344,1395,1363	80,102,78	4515	99	0	0.0	0.681,0.641,0.612	0.269,0.231,0.277	0.386
3	"ENSG00000203910"	NA	chr1	+	92244216	92244857	92244216	92244385	92244778	92244857	3	22,14,6	140,144,155	31,8,10	148,139,145	492	99	0.479154935369	0.958309870738	0.031,0.019,0.008	0.04,0.011,0.014	-0.002
4	"ENSG00000224616"	NA	chr1	-	100251527	100265917	100251527	100253821	100258353	100265917	4	8,8,4	7,3,3	20,32,27	4,3,0	4631	99	0.0152016730717	0.04907206745952281	0.024,0.054,0.028	0.097,0.186,1.0	-0.392
5	"ENSG00000143851"	NA	chr1	-	202149850	202152699	202149850	202150424	202152537	202152699	5	13,2,15	84,90,94	7,0,3	186,159,169	2212	99	1	1.0	0.007,0.001,0.007	0.002,0.0,0.001	0.004
6	"ENSG00000116704"	NA	chr1	-	67050432	67052079	67050432	67050504	67052011	67052079	6	2,0,0	1,0,0	0,2,0	3,0,2	1606	99	1	1.0	0.11,NA,NA	0.0,1.0,0.0	-0.223
7	"ENSG00000289408"	NA	chr1	-	164903098	164910110	164903098	164903342	164909151	164910110	7	31,35,46	545,545,540	49,55,62	280,255,271	5908	99	1	1.0	0.001,0.001,0.001	0.003,0.004,0.004	-0.003
8	"ENSG00000224592"	NA	chr1	+	38105631	38119025	38105631	38105752	38118959	38119025	8	3179,2787,2873	1,0,6	5681,6092,5315	0,0,0	13306	99	0.0054843761108	0.020182504087744003	0.959,1.0,0.781	1.0,1.0,1.0	-0.087
10	"ENSG00000184313"	NA	chr1	+	54670799	54673186	54670799	54670929	54673090	54673186	10	8,9,8	1,0,0	5,2,2	0,0,3	2260	99	0.040727823317	0.12489865817213333	0.26,1.0,1.0	1.0,1.0,0.028	0.077
11	"ENSG00000232261"	NA	chr1	-	171751542	171752025	171751542	171751779	171751881	171752025	11	30,41,6	162,182,155	46,25,54	65,65,99	201	99	1.91615612266e-11	1.581925701544e-10	0.084,0.1,0.019	0.258,0.159,0.212	-0.142
12	"ENSG00000225518"	NA	chr1	+	226086795	226090465	226086795	226087053	226089489	226090465	12	2623,2946,3015	0,1,0	5268,5505,5553	1,1,0	2535	99	1	1.0	1.0,0.991,1.0	0.995,0.995,1.0	0.0
13	"ENSG00000204478"	NA	chr1	+	13416350	13418700	13416350	13416641	13418121	13418700	13	366,280,395	933,992,1002	289,223,287	1973,1928,2016	1579	99	0	0.0	0.024,0.017,0.024	0.009,0.007,0.009	0.013
14	"ENSG00000233069"	NA	chr1	+	20732879	20733952	20732879	20733025	20733799	20733952	14	71,62,62	0,0,0	90,96,109	0,0,1	873	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.925	0.025
15	"ENSG00000236866"	NA	chr1	-	117596831	117604399	117596831	117596994	117603998	117604399	15	992,1115,1147	705,711,719	1103,1060,1285	740,734,803	7103	99	0.982086989832	1.0	0.019,0.021,0.022	0.02,0.02,0.022	0.0
16	"ENSG00000283773"	NA	chr1	-	16642766	16643109	16642766	16642850	16643027	16643109	16	2,2,2	18,8,4	2,2,2	10,16,2	276	99	0.642708889334	1.0	0.038,0.082,0.152	0.067,0.043,0.264	-0.034
17	"ENSG00000122218"	NA	chr1	-	160293165	160293463	160293165	160293234	160293385	160293463	17	0,0,0	2,0,2	1,0,1	3,4,3	250	99	1	1.0	0.0,NA,0.0	0.117,0.0,0.117	-0.078
18	"ENSG00000116962"	NA	chr1	-	236038103	236042292	236038103	236038253	236041909	236042292	18	129,130,171	0,1,1	49,53,51	4,3,8	3755	99	8.3912721216e-10	6.175976281497601e-09	1.0,0.774,0.818	0.244,0.318,0.144	0.629
19	"ENSG00000143294"	NA	chr1	+	156782281	156787174	156782281	156782329	156786607	156787174	19	84,128,98	12,16,10	69,59,55	30,24,28	4377	99	9.78359171455e-09	6.923772597989231e-08	0.137,0.153,0.181	0.049,0.053,0.043	0.109
20	"ENSG00000058673"	NA	chr1	+	203848330	203850026	203848330	203848407	203849710	203850026	20	124,137,137	160,180,176	151,164,167	252,268,219	1402	99	0.181350317394	0.44491277867328005	0.052,0.051,0.052	0.041,0.041,0.051	0.007
21	"ENSG00000168679"	NA	chr1	-	110389236	110391082	110389236	110389355	110390864	110391082	21	125,188,162	59,53,44	63,71,60	90,109,110	1608	99	0	0.0	0.115,0.179,0.185	0.041,0.039,0.032	0.122
22	"ENSG00000126067"	NA	chr1	-	35599540	35605282	35599540	35603374	35605232	35605282	22	2170,2271,2217	12,22,13	1191,1169,1129	23,46,36	1957	99	1.97740712693e-11	1.581925701544e-10	0.901,0.839,0.896	0.724,0.562,0.613	0.246
23	"ENSG00000228852"	NA	chr1	-	95248967	95261131	95248967	95249448	95260821	95261131	23	484,397,390	22,24,8	784,1013,875	9,5,9	11472	99	7.95173557111e-07	4.719739822852387e-06	0.16,0.125,0.296	0.429,0.636,0.456	-0.313
24	"ENSG00000185278"	NA	chr1	+	173873466	173903547	173873466	173873643	173885635	173903547	24	181,188,181	136,128,117	206,165,175	116,114,140	12091	99	0.924441524431	1.0	0.011,0.012,0.013	0.014,0.012,0.01	-0.0
25	"ENSG00000289893"	NA	chr1	-	5733357	5744491	5733357	5734553	5744375	5744491	25	19,3,4	16,12,14	2,11,0	5,9,9	9921	99	1	1.0	0.012,0.002,0.003	0.004,0.012,0.0	0.0
26	"ENSG00000229828"	NA	chr1	+	148081647	148082390	148081647	148081761	148082202	148082390	26	2,6,3	4,6,9	5,6,4	2,4,4	540	99	0.0959014965325	0.25949816708794116	0.084,0.155,0.058	0.314,0.216,0.155	-0.129
27	"ENSG00000143498"	NA	chr1	-	222564058	222569424	222564058	222564125	222568828	222569424	27	5817,5551,5739	59,57,51	2947,2739,2710	81,111,104	4802	99	0	0.0	0.67,0.668,0.699	0.429,0.337,0.349	0.307
28	"ENSG00000237330"	NA	chr1	-	1070966	1074306	1070966	1072575	1074015	1074306	28	23,38,15	7,1,1	21,44,33	3,4,0	1539	99	0.464215745832	0.9427729731185055	0.174,0.71,0.491	0.31,0.414,1.0	-0.116
29	"ENSG00000162711"	NA	chr1	+	247416155	247419077	247416155	247416193	247418052	247419077	29	45398,44627,44705	23,27,14	44964,42942,43853	13,20,19	1958	99	1	1.0	0.99,0.988,0.994	0.994,0.991,0.992	-0.002
31	"ENSG00000178104"	NA	chr1	+	148915506	148931923	148915506	148915750	148929136	148931923	31	1234,1190,1263	339,358,362	576,622,655	719,700,688	13485	99	0	0.0	0.026,0.024,0.025	0.006,0.006,0.007	0.019
32	"ENSG00000067533"	NA	chr1	+	218285292	218302671	218285292	218285455	218302293	218302671	32	2413,2266,2356	0,0,1	1227,1211,1197	8,3,5	16937	99	6.10921979671e-10	4.683735177477667e-09	1.0,1.0,0.932	0.473,0.702,0.583	0.391
33	"ENSG00000162775"	NA	chr1	+	110345538	110346681	110345538	110345649	110346307	110346681	33	51,56,59	0,1,0	16,24,28	1,2,0	757	99	0.665570933896	1.0	1.0,0.88,1.0	0.677,0.611,1.0	0.197
34	"ENSG00000224939"	NA	chr1	+	234629310	234634780	234629310	234629747	234632947	234634780	34	135471,137342,135798	6489,6389,6499	272011,271088,272546	3237,3154,3222	3299	99	0	0.0	0.385,0.392,0.385	0.716,0.721,0.717	-0.331
35	"ENSG00000234396"	NA	chr1	+	2212522	2220738	2212522	2212644	2220534	2220738	35	1692,1681,1577	1,1,0	1752,1724,1772	1,0,1	7989	99	1	1.0	0.954,0.954,1.0	0.956,1.0,0.956	-0.001
36	"ENSG00000122484"	NA	chr1	+	92307187	92320634	92307187	92307276	92320598	92320634	36	275,208,237	1,0,0	223,238,198	1,0,0	13421	99	1	1.0	0.67,1.0,1.0	0.622,1.0,1.0	0.016
37	"ENSG00000117000"	NA	chr1	+	40222573	40231658	40222573	40222710	40231516	40231658	37	896,926,776	4,5,1	413,433,483	6,6,9	8905	99	0.000227809960161	0.0010747957094775385	0.713,0.673,0.896	0.434,0.445,0.374	0.343
38	"ENSG00000177553"	NA	chr1	-	11777076	11778807	11777076	11778284	11778644	11778807	38	7,17,13	1,2,2	17,16,37	0,0,2	459	99	0.00153748414353	0.006286601831322666	0.602,0.647,0.584	1.0,1.0,0.8	-0.322
