ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000184908"	NA	chr1	+	16056523	16056567	16056421	16056508	16056868	16057311	0	14297,14521,14414	0,0,7	14571,14383,14390	0,0,0	143	99	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0	-0.0
1	"ENSG00000163565"	NA	chr1	+	159045296	159045464	159032503	159032691	159049431	159049599	1	2410,3045,3269	1,1,0	3174,3204,3150	0,1,0	267	99	1	1.0	0.999,0.999,1.0	1.0,0.999,1.0	-0.0
2	"ENSG00000163565"	NA	chr1	+	159049431	159049599	159045296	159045464	159051678	159053724	2	3164,2970,2552	0,0,1	3106,3170,3202	0,0,0	267	99	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0	-0.0
3	"ENSG00000058673"	NA	chr1	+	203814904	203814972	203796292	203803016	203816925	203817124	3	54,58,68	165,138,141	73,62,64	221,219,193	167	99	0.0824634902346	0.26692129733831055	0.162,0.199,0.222	0.164,0.144,0.164	0.037
4	"ENSG00000058673"	NA	chr1	+	203833936	203834102	203833790	203833853	203837965	203838064	4	83,93,101	141,115,162	111,101,112	215,216,216	265	99	0.0331349513306	0.12520741011845454	0.18,0.232,0.189	0.162,0.149,0.162	0.043
5	"ENSG00000058673"	NA	chr1	+	203851056	203851124	203850173	203850681	203852140	203854999	5	97,98,104	44,57,55	143,140,144	32,22,23	167	99	8.09733835538e-10	9.9597261771174e-09	0.567,0.505,0.529	0.726,0.79,0.788	-0.234
6	"ENSG00000120341"	NA	chr1	-	177930544	177930643	177927565	177929929	177932489	177932569	6	9,17,7	26,32,31	13,13,14	30,30,18	198	99	0.2580099467	0.66115048841875	0.148,0.21,0.101	0.178,0.178,0.28	-0.059
7	"ENSG00000120341"	NA	chr1	-	177932697	177932806	177932489	177932569	177933213	177933312	7	13,11,7	34,39,27	12,15,12	29,35,21	208	99	0.168182956248	0.4660358545775056	0.154,0.118,0.11	0.165,0.169,0.214	-0.055
8	"ENSG00000120341"	NA	chr1	-	177948389	177948644	177947824	177947942	177951913	177951995	8	11,7,3	10,16,19	18,11,15	10,18,7	354	99	0.00953288175616	0.041876587714559994	0.235,0.109,0.042	0.335,0.146,0.375	-0.157
9	"ENSG00000213366"	NA	chr1	+	109683206	109683997	109681808	109681834	109701651	109702442	9	1088,1335,1076	1,0,1	1376,1374,1416	0,0,0	890	99	1	1.0	0.992,1.0,0.992	1.0,1.0,1.0	-0.005
10	"ENSG00000136628"	NA	chr1	-	219988589	219988823	219987141	219987404	219996982	219997342	10	43,61,37	0,1,0	36,57,33	0,0,0	333	99	1	1.0	1.0,0.948,1.0	1.0,1.0,1.0	-0.017
11	"ENSG00000205090"	NA	chr1	-	1539055	1539790	1535588	1535797	1540289	1540624	11	1,2,2	799,833,779	4,0,0	828,792,869	834	99	1	1.0	0.0,0.0,0.0	0.001,0.0,0.0	-0.0
12	"ENSG00000261024"	NA	chr1	-	185323845	185324028	185323102	185323166	185331256	185331381	12	2,2,0	24,21,33	0,1,0	44,36,29	282	99	1	1.0	0.028,0.032,0.0	0.0,0.01,0.0	0.017
13	"ENSG00000137942"	NA	chr1	+	93543825	93544216	93541041	93541056	93546841	93546974	13	24,30,30	5,1,4	46,49,39	2,2,3	490	99	0.12937090869	0.3834366691293976	0.492,0.858,0.602	0.823,0.832,0.724	-0.142
15	"ENSG00000268575"	NA	chr1	-	1708179	1708245	1707524	1707584	1708793	1708952	15	435,411,416	0,1,0	208,196,223	1,0,0	165	99	1	1.0	1.0,0.996,1.0	0.992,1.0,1.0	0.001
16	"ENSG00000268575"	NA	chr1	-	1709517	1709640	1709037	1709133	1712263	1712400	16	10,12,13	196,288,283	36,20,32	135,162,153	222	99	6.04349903455e-12	8.74529860293706e-11	0.022,0.018,0.02	0.106,0.052,0.085	-0.061
17	"ENSG00000268575"	NA	chr1	-	1712263	1712400	1709517	1709640	1716345	1716478	17	491,678,569	0,2,2	356,320,394	0,0,0	236	99	1	1.0	1.0,0.993,0.992	1.0,1.0,1.0	-0.005
18	"ENSG00000159339"	NA	chr1	+	17356356	17356459	17355982	17356127	17358837	17358908	18	1,2,0	0,0,2	0,1,1	0,0,0	202	99	1	1.0	1.0,1.0,0.0	NA,1.0,1.0	-0.333
19	"ENSG00000271425"	NA	chr1	-	146123926	146123978	146123105	146123278	146124687	146124860	19	8,1,1	4,9,5	3,3,6	20,22,17	151	99	0.375346118663	0.878962919412849	0.567,0.068,0.116	0.09,0.082,0.188	0.13
20	"ENSG00000271425"	NA	chr1	-	146156479	146156815	146144906	146145061	146164750	146165010	20	1673,418,1344	0,0,1	3057,883,2362	0,0,0	435	99	1	1.0	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
23	"ENSG00000117425"	NA	chr1	-	44830847	44831043	44829908	44830030	44831705	44831797	23	79,78,69	11,20,11	152,129,152	6,9,3	295	99	8.79360652406e-07	7.2107573497292e-06	0.707,0.567,0.678	0.895,0.828,0.944	-0.238
