# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	exon1_coord	Exon2 coordinate	junction_coord	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000069702_1	ENSG00000069702	ENSG00000069702	1	-	ENSG00000069702:s:91861471-91862047	ENSG00000069702_1_OR_1	True	True	na-91849867	91865698-na	91849867-91865698	False	False		41	82					
ENSG00000069702_1	ENSG00000069702	ENSG00000069702	1	-	ENSG00000069702:s:91861471-91862047	ENSG00000069702_1_OR_2	True	True	na-91865077	91865787-na	91865077-91865787	False	False		3	5					
ENSG00000230021_1	ENSG00000230021	ENSG00000230021	1	-	ENSG00000230021:s:827670-827796	ENSG00000230021_1_OR_1	True	True	na-744825	746695-na	744825-746695	False	False		702	346					
ENSG00000230021_1	ENSG00000230021	ENSG00000230021	1	-	ENSG00000230021:s:827670-827796	ENSG00000230021_1_OR_2	True	True	na-756141	758967-na	756141-758967	False	False		1408	709					
ENSG00000230021_1	ENSG00000230021	ENSG00000230021	1	-	ENSG00000230021:s:827670-827796	ENSG00000230021_1_OR_3	True	True	na-774280	778284-na	774280-778284	False	False		132	70					
ENSG00000143502_2	ENSG00000143502	ENSG00000143502	1	-	ENSG00000143502:s:223337330-na	ENSG00000143502_2_OR_1	True	True	na-223337185	223337330-na	223337185-223337330	False	False	False	51	99	5.593e-01	5.851e-01	1.660e-02	9.115e-02	1.761e-01
ENSG00000143502_2	ENSG00000143502	ENSG00000143502	1	-	ENSG00000143502:s:223337330-na	ENSG00000143502_2_OR_2	True	True	na-223337233	223337330-na	223337233-223337330	False	False	False	7	15	4.407e-01	4.149e-01	-1.660e-02	9.115e-02	1.761e-01
ENSG00000132854_1	ENSG00000132854	ENSG00000132854	1	-	ENSG00000132854:s:62272873-62275087;ENSG00000132854:s:62253063-62253209	ENSG00000132854_1_OR_1	True	True	na-62249488	62265487-na	62249488-62265487	False	False		6	6					
ENSG00000132854_1	ENSG00000132854	ENSG00000132854	1	-	ENSG00000132854:s:62272873-62275087;ENSG00000132854:s:62253063-62253209	ENSG00000132854_1_OR_2	True	True	na-62251921	62264347-na	62251921-62264347	False	False		4	10					
ENSG00000132854_1	ENSG00000132854	ENSG00000132854	1	-	ENSG00000132854:s:62272873-62275087;ENSG00000132854:s:62253063-62253209	ENSG00000132854_1_OR_3	True	True	na-62264291	62276652-na	62264291-62276652	False	False		1346	2641					
ENSG00000248333_2	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1655369-1655484	ENSG00000248333_2_OR_1	True	True	na-1652971	1654907-na	1652971-1654907	False	False		12	18					
