# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000084072_1	ENSG00000084072	ENSG00000084072	1	+	ENSG00000084072:s:39738879-39738931	ENSG00000084072_1_A3A5_1	False	True	39738879-39738931	E2	39738982-39739293	E1_E2_J1	39738923-39738982	False	False	False	55	44	7.676e-02	6.843e-02	-1.263e-04	6.156e-21	9.956e-01
ENSG00000084072_1	ENSG00000084072	ENSG00000084072	1	+	ENSG00000084072:s:39738879-39738931	ENSG00000084072_1_A3A5_1	False	False	39738879-39738931	E2	39738982-39739293	E1_E2_J2	39738931-39738990	False	False	False	663	627	9.232e-01	9.316e-01	1.263e-04	6.152e-21	9.956e-01
ENSG00000084072_1	ENSG00000084072	ENSG00000084072	1	+		ENSG00000084072_1_A3A5_1	False	True	39738982-39739293	E1	39738879-39738931	E2_E1_J1	39738923-39738982	False	False		55	44					
ENSG00000084072_1	ENSG00000084072	ENSG00000084072	1	+		ENSG00000084072_1_A3A5_1	False	False	39738982-39739293	E1	39738879-39738931	E2_E1_J2	39738931-39738990	False	False		663	627					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_1	True	True	90287-91105	E2	89551-90286	E1_E2_J1	90286-90405	False	False	False	191	200	7.100e-02	7.515e-02	4.188e-10	6.119e-21	1.000e+00
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_1	True	False	90287-91105	E2	89551-90286	E1_E2_J2	89729-90287	False	False	False	1904	1855	7.004e-01	7.270e-01	1.550e-02	1.016e-20	6.886e-01
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_1	True	True	89551-90286	E1	90287-91105	E2_E1_J1	90286-90405	False	False		191	200					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_1	True	False	89551-90286	E1	90287-91105	E2_E1_J2	89729-90287	False	False		1904	1855					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_2	True	True	90287-91105	E2	89551-90286	E1_E2_J1	90286-90405	False	False	False	191	200	7.100e-02	7.515e-02	4.188e-10	6.119e-21	1.000e+00
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_2	True	True	90287-91105	E2	89551-90286	E1_E2_J2	90168-90287	False	False	False	438	412	5.374e-02	1.627e-01	1.082e-01	1.845e-10	2.597e-02
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_2	True	True	89551-90286	E1	90287-91105	E2_E1_J1	90286-90405	False	False		191	200					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_2	True	True	89551-90286	E1	90287-91105	E2_E1_J2	90168-90287	False	False		438	412					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_3	True	True	90287-91105	E2	89551-90286	E1_E2_J1	90286-90405	False	False	False	191	200	7.100e-02	7.515e-02	4.188e-10	6.119e-21	1.000e+00
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-	ENSG00000239945:s:90287-91105	ENSG00000239945_1_A3A5_3	True	True	90287-91105	E2	89551-90286	E1_E2_J2	90227-90287	False	False	False	407	9	1.066e-01	3.703e-03	-8.803e-02	3.935e-20	6.677e-02
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_3	True	True	89551-90286	E1	90287-91105	E2_E1_J1	90286-90405	False	False		191	200					
ENSG00000239945_1	ENSG00000239945	ENSG00000239945	1	-		ENSG00000239945_1_A3A5_3	True	True	89551-90286	E1	90287-91105	E2_E1_J2	90227-90287	False	False		407	9					
ENSG00000217801_1	ENSG00000217801	ENSG00000217801	1	+		ENSG00000217801_1_A3A5_1	False	False	1067566-1067649	E2	1068577-1068724	E1_E2_J1	1067646-1068577	False	False		412	216					
ENSG00000217801_1	ENSG00000217801	ENSG00000217801	1	+		ENSG00000217801_1_A3A5_1	False	True	1067566-1067649	E2	1068577-1068724	E1_E2_J2	1067649-1068580	False	False		29	11					
