# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	cassette	tandem_cassette	alt3	alt5	putative_alt3	putative_alt5	alt3_5	mxe	ir	ale	afe	putative_ale	putative_afe	orphan_junc	other	multi_exon_spanning	complex	denovo_juncs	denovo_introns	num_events	module_event_combination
ENSG00000127125_1	ENSG00000127125	ENSG00000127125	1	+	ENSG00000127125:s:42459603-42461236			1														False	0	0	1	alt3^1
ENSG00000232762_1	ENSG00000232762	ENSG00000232762	1	+	ENSG00000232762:t:53306087-53306191;ENSG00000232762:s:53304997-53305163																1	False	0	0	1	multi_exon_spanning^1
ENSG00000008130_1	ENSG00000008130	ENSG00000008130	1	-	ENSG00000008130:t:1759734-1759902;ENSG00000008130:s:1765228-1765446	1																False	0	0	1	cassette^1
ENSG00000142687_1	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:t:35557048-35557433											1						False	0	0	1	afe^1
ENSG00000142687_2	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:s:35533096-35533441;ENSG00000142687:t:35476269-35476595		1														1	False	0	0	2	tandem_cassette^1|multi_exon_spanning^1
ENSG00000142687_3	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:s:35476269-35476595			1														False	0	0	1	alt3^1
ENSG00000142687_4	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:s:35470863-35470960				1													False	0	0	1	alt5^1
ENSG00000142687_5	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:t:35454237-35454287;ENSG00000142687:s:35460305-35462713								1									False	0	0	1	mxe^1
ENSG00000142687_6	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:s:35447598-35448332									1								False	0	0	1	ir^1
ENSG00000142687_7	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:t:35435305-35435597;ENSG00000142687:s:35447046-35447233	1																False	0	0	1	cassette^1
ENSG00000142687_8	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:s:35397335-35397556										1							False	0	0	1	ale^1
ENSG00000234614_1	ENSG00000234614	ENSG00000234614	1	+	ENSG00000234614:t:151850233-151850385;ENSG00000234614:s:151841877-151842031	1																False	0	0	1	cassette^1
ENSG00000257315_1	ENSG00000257315	ENSG00000257315	1	+	ENSG00000257315:s:203849711-203850026									1								False	0	1	1	ir^1
ENSG00000257315_2	ENSG00000257315	ENSG00000257315	1	+	ENSG00000257315:s:203850515-203850681										1							False	0	0	1	ale^1
ENSG00000248333_1	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:t:1657256-1657302											1						False	0	0	1	afe^1
ENSG00000248333_2	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1655369-1655484									1					1			True	1	0	2	ir^1|orphan_junc^1
ENSG00000248333_3	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1652439-1652566;ENSG00000248333:t:1641906-1642001		1														1	False	0	0	2	tandem_cassette^1|multi_exon_spanning^1
ENSG00000248333_4	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:t:1640277-1640452;ENSG00000248333:s:1641662-1641820	1																False	0	0	1	cassette^1
ENSG00000248333_5	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1637762-1637883;ENSG00000248333:t:1636897-1637004								1									False	0	0	1	mxe^1
ENSG00000248333_6	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1636897-1637004				1													False	0	0	1	alt5^1
ENSG00000248333_7	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1636682-1636798			1														False	0	0	1	alt3^1
ENSG00000248333_8	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:s:1636333-1636481										1							False	0	0	1	ale^1
ENSG00000291234_1	ENSG00000291234	ENSG00000291234	1	-	ENSG00000291234:s:202858882-202859222			1														False	0	0	1	alt3^1
ENSG00000054282_1	ENSG00000054282	ENSG00000054282	1	+	ENSG00000054282:t:243426427-243426558;ENSG00000054282:s:243270978-243271063		1														1	False	0	0	2	tandem_cassette^1|multi_exon_spanning^1
ENSG00000164007_1	ENSG00000164007	ENSG00000164007	1	-	ENSG00000164007:s:42738421-42738585;ENSG00000164007:t:42733093-42736030	1																False	0	0	1	cassette^1
ENSG00000185499_1	ENSG00000185499	ENSG00000185499	1	-	ENSG00000185499:s:155192786-155192916									1								False	0	0	1	ir^1
