ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000227070"	NA	chr1	+	51560881	51561651	51560881	51561023	51561470	51561651
1	"ENSG00000169242"	NA	chr1	+	155131203	155133780	155131203	155131634	155133502	155133780
2	"ENSG00000117602"	NA	chr1	+	24502835	24507728	24502835	24503150	24507566	24507728
3	"ENSG00000203910"	NA	chr1	+	92244216	92244857	92244216	92244385	92244778	92244857
4	"ENSG00000224616"	NA	chr1	-	100251527	100265917	100251527	100253821	100258353	100265917
5	"ENSG00000143851"	NA	chr1	-	202149850	202152699	202149850	202150424	202152537	202152699
6	"ENSG00000116704"	NA	chr1	-	67050432	67052079	67050432	67050504	67052011	67052079
7	"ENSG00000289408"	NA	chr1	-	164903098	164910110	164903098	164903342	164909151	164910110
8	"ENSG00000224592"	NA	chr1	+	38105631	38119025	38105631	38105752	38118959	38119025
9	"ENSG00000233410"	NA	chr1	-	199008393	199021037	199008393	199008568	199020817	199021037
10	"ENSG00000184313"	NA	chr1	+	54670799	54673186	54670799	54670929	54673090	54673186
11	"ENSG00000232261"	NA	chr1	-	171751542	171752025	171751542	171751779	171751881	171752025
12	"ENSG00000225518"	NA	chr1	+	226086795	226090465	226086795	226087053	226089489	226090465
13	"ENSG00000204478"	NA	chr1	+	13416350	13418700	13416350	13416641	13418121	13418700
14	"ENSG00000233069"	NA	chr1	+	20732879	20733952	20732879	20733025	20733799	20733952
15	"ENSG00000236866"	NA	chr1	-	117596831	117604399	117596831	117596994	117603998	117604399
16	"ENSG00000283773"	NA	chr1	-	16642766	16643109	16642766	16642850	16643027	16643109
17	"ENSG00000122218"	NA	chr1	-	160293165	160293463	160293165	160293234	160293385	160293463
18	"ENSG00000116962"	NA	chr1	-	236038103	236042292	236038103	236038253	236041909	236042292
19	"ENSG00000143294"	NA	chr1	+	156782281	156787174	156782281	156782329	156786607	156787174
20	"ENSG00000058673"	NA	chr1	+	203848330	203850026	203848330	203848407	203849710	203850026
21	"ENSG00000168679"	NA	chr1	-	110389236	110391082	110389236	110389355	110390864	110391082
22	"ENSG00000126067"	NA	chr1	-	35599540	35605282	35599540	35603374	35605232	35605282
23	"ENSG00000228852"	NA	chr1	-	95248967	95261131	95248967	95249448	95260821	95261131
24	"ENSG00000185278"	NA	chr1	+	173873466	173903547	173873466	173873643	173885635	173903547
25	"ENSG00000289893"	NA	chr1	-	5733357	5744491	5733357	5734553	5744375	5744491
26	"ENSG00000229828"	NA	chr1	+	148081647	148082390	148081647	148081761	148082202	148082390
27	"ENSG00000143498"	NA	chr1	-	222564058	222569424	222564058	222564125	222568828	222569424
28	"ENSG00000237330"	NA	chr1	-	1070966	1074306	1070966	1072575	1074015	1074306
29	"ENSG00000162711"	NA	chr1	+	247416155	247419077	247416155	247416193	247418052	247419077
30	"ENSG00000273112"	NA	chr1	+	161517974	161601364	161517974	161518137	161601239	161601364
31	"ENSG00000178104"	NA	chr1	+	148915506	148931923	148915506	148915750	148929136	148931923
32	"ENSG00000067533"	NA	chr1	+	218285292	218302671	218285292	218285455	218302293	218302671
33	"ENSG00000162775"	NA	chr1	+	110345538	110346681	110345538	110345649	110346307	110346681
34	"ENSG00000224939"	NA	chr1	+	234629310	234634780	234629310	234629747	234632947	234634780
35	"ENSG00000234396"	NA	chr1	+	2212522	2220738	2212522	2212644	2220534	2220738
36	"ENSG00000122484"	NA	chr1	+	92307187	92320634	92307187	92307276	92320598	92320634
37	"ENSG00000117000"	NA	chr1	+	40222573	40231658	40222573	40222710	40231516	40231658
38	"ENSG00000177553"	NA	chr1	-	11777076	11778807	11777076	11778284	11778644	11778807
39	"ENSG00000132854"	NA	chr1	-	62263091	62266819	62263091	62263424	62266731	62266819
40	"ENSG00000160679"	NA	chr1	+	153636571	153644385	153636571	153638448	153642242	153644385
41	"ENSG00000228838"	NA	chr1	+	53288023	53289706	53288023	53288432	53289440	53289706
42	"ENSG00000233154"	NA	chr1	-	116423723	116428494	116423723	116423915	116428381	116428494
43	"ENSG00000132681"	NA	chr1	+	160155044	160156158	160155044	160155248	160156044	160156158
44	"ENSG00000049247"	NA	chr1	-	7843082	7846766	7843082	7843950	7846691	7846766
45	"ENSG00000234915"	NA	chr1	-	212299494	212331713	212299494	212299625	212331457	212331713
46	"ENSG00000233712"	NA	chr1	-	157640024	157642751	157640024	157640303	157642663	157642751
47	"ENSG00000242042"	NA	chr1	-	246516038	246517779	246516038	246516830	246517698	246517779
48	"ENSG00000228504"	NA	chr1	-	95310927	95318263	95310927	95311193	95318147	95318263
49	"ENSG00000162415"	NA	chr1	-	45020065	45020788	45020065	45020147	45020624	45020788
50	"ENSG00000121486"	NA	chr1	-	185151824	185156953	185151824	185151935	185156477	185156953
51	"ENSG00000066322"	NA	chr1	-	43363397	43364460	43363397	43364137	43364323	43364460
52	"ENSG00000287724"	NA	chr1	+	54876306	54883664	54876306	54876422	54883183	54883664
53	"ENSG00000234277"	NA	chr1	+	227409754	227417725	227409754	227409884	227417335	227417725
54	"ENSG00000238270"	NA	chr1	-	189868000	189868528	189868000	189868212	189868326	189868528
55	"ENSG00000142669"	NA	chr1	+	26280085	26281522	26280085	26280203	26280764	26281522
56	"ENSG00000233203"	NA	chr1	+	54887562	54888850	54887562	54887976	54888499	54888850
57	"ENSG00000198468"	NA	chr1	-	212855468	212858139	212855468	212857172	212857765	212858139
58	"ENSG00000174567"	NA	chr1	-	204198941	204201811	204198941	204199258	204201632	204201811
59	"ENSG00000231440"	NA	chr1	-	240588521	240590748	240588521	240589175	240590727	240590748
60	"ENSG00000116251"	NA	chr1	-	6200488	6203494	6200488	6200842	6203366	6203494
61	"ENSG00000232959"	NA	chr1	+	170024076	170024683	170024076	170024283	170024549	170024683
62	"ENSG00000185436"	NA	chr1	-	24169416	24180854	24169416	24169601	24180730	24180854
63	"ENSG00000117262"	NA	chr1	+	145612201	145616293	145612201	145612247	145616233	145616293
64	"ENSG00000159339"	NA	chr1	+	17334323	17336226	17334323	17334796	17336158	17336226
65	"ENSG00000229832"	NA	chr1	+	212357417	212358353	212357417	212357475	212357915	212358353
66	"ENSG00000271425"	NA	chr1	-	146068002	146068823	146068002	146068175	146068771	146068823
67	"ENSG00000203761"	NA	chr1	+	155749326	155749631	155749326	155749431	155749521	155749631
68	"ENSG00000290561"	NA	chr1	-	111386736	111388453	111386736	111386858	111388253	111388453
69	"ENSG00000011021"	NA	chr1	+	11826155	11827221	11826155	11826224	11827088	11827221
70	"ENSG00000000938"	NA	chr1	-	27626045	27626569	27626045	27626240	27626459	27626569
71	"ENSG00000117425"	NA	chr1	-	44828981	44829312	44828981	44829074	44829156	44829312
72	"ENSG00000158882"	NA	chr1	+	161226303	161226955	161226303	161226604	161226887	161226955
73	"ENSG00000143297"	NA	chr1	-	157544261	157545082	157544261	157544546	157544830	157545082
74	"ENSG00000162931"	NA	chr1	-	228409388	228411176	228409388	228409411	228410945	228411176
75	"ENSG00000284694"	NA	chr1	-	4479130	4484375	4479130	4482350	4484193	4484375
76	"ENSG00000157193"	NA	chr1	-	53289331	53292292	53289331	53289689	53291788	53292292
77	"ENSG00000163395"	NA	chr1	+	201214176	201215154	201214176	201214301	201215012	201215154
78	"ENSG00000287033"	NA	chr1	-	211376803	211382717	211376803	211377116	211382398	211382717
79	"ENSG00000143556"	NA	chr1	-	153457743	153459030	153457743	153457970	153458872	153459030
80	"ENSG00000271383"	NA	chr1	+	149540300	149541244	149540300	149540473	149541192	149541244
81	"ENSG00000135842"	NA	chr1	-	184805945	184808235	184805945	184806056	184808073	184808235
82	"ENSG00000116698"	NA	chr1	+	183515873	183517820	183515873	183516086	183517625	183517820
83	"ENSG00000152763"	NA	chr1	-	66870804	66874937	66870804	66871509	66874780	66874937
84	"ENSG00000135829"	NA	chr1	+	182852232	182853418	182852232	182852344	182853305	182853418
85	"ENSG00000286231"	NA	chr1	+	220882163	220884503	220882163	220882348	220884194	220884503
86	"ENSG00000143374"	NA	chr1	+	150496481	150496908	150496481	150496628	150496809	150496908
87	"ENSG00000198765"	NA	chr1	+	114946288	114947320	114946288	114946381	114947245	114947320
88	"ENSG00000137968"	NA	chr1	-	75396582	75398421	75396582	75396621	75398354	75398421
89	"ENSG00000230426"	NA	chr1	+	187254375	187255122	187254375	187254543	187254972	187255122
90	"ENSG00000268043"	NA	chr1	+	146975676	146977001	146975676	146975891	146976928	146977001
91	"ENSG00000160789"	NA	chr1	+	156106657	156109746	156106657	156106823	156109512	156109746
92	"ENSG00000152092"	NA	chr1	-	176876536	176882994	176876536	176876637	176882858	176882994
93	"ENSG00000135823"	NA	chr1	-	180987724	180989377	180987724	180988095	180988238	180989377
94	"ENSG00000159423"	NA	chr1	-	18877207	18877612	18877207	18877255	18877415	18877612
95	"ENSG00000213047"	NA	chr1	-	197734008	197772932	197734008	197735796	197772867	197772932
96	"ENSG00000198758"	NA	chr1	-	109757016	109757555	109757016	109757165	109757480	109757555
97	"ENSG00000270149"	NA	chr1	-	161001284	161021112	161001284	161001353	161021009	161021112
98	"ENSG00000135862"	NA	chr1	+	183132399	183133550	183132399	183132537	183133405	183133550
99	"ENSG00000196427"	NA	chr1	-	108240949	108242173	108240949	108241164	108242073	108242173
100	"ENSG00000116830"	NA	chr1	+	117097350	117098238	117097350	117097433	117098205	117098238
101	"ENSG00000116406"	NA	chr1	-	184710393	184712598	184710393	184710547	184711722	184712598
102	"ENSG00000162819"	NA	chr1	+	222724091	222725555	222724091	222724164	222725449	222725555
103	"ENSG00000092621"	NA	chr1	+	119729939	119734981	119729939	119730071	119734303	119734981
104	"ENSG00000027644"	NA	chr1	-	156849245	156851434	156849245	156849460	156851289	156851434
105	"ENSG00000067704"	NA	chr1	+	220102494	220102777	220102494	220102604	220102686	220102777
106	"ENSG00000237352"	NA	chr1	+	59126983	59132803	59126983	59127062	59132346	59132803
107	"ENSG00000066056"	NA	chr1	+	43311670	43312131	43311670	43311829	43311993	43312131
108	"ENSG00000134242"	NA	chr1	-	113825141	113829707	113825141	113825172	113829591	113829707
109	"ENSG00000196187"	NA	chr1	-	225848209	225848554	225848209	225848384	225848491	225848554
