ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000227070"	NA	chr1	+	51560881	51561651	51560881	51561023	51561470	51561651	0	26,29,60	2,1,8	52,33,28	3,0,1	198	99	0.0228061302588	0.07644276994153333	0.867,0.935,0.789	0.897,1.0,0.933	-0.08
1	"ENSG00000169242"	NA	chr1	+	155131203	155133780	155131203	155131634	155133502	155133780	1	0,2,4	2,0,0	2,1,4	1,3,1	198	99	0.0346981241364	0.11018176260856842	0.0,1.0,1.0	0.5,0.143,0.667	0.23
2	"ENSG00000117602"	NA	chr1	+	24502835	24507728	24502835	24503150	24507566	24507728	2	130,139,131	30,34,39	54,68,58	80,102,78	198	99	0	0.0	0.684,0.671,0.627	0.252,0.25,0.271	0.403
3	"ENSG00000203910"	NA	chr1	+	92244216	92244857	92244216	92244385	92244778	92244857	3	11,11,3	140,144,155	13,6,5	148,139,145	198	99	0.907124085043	1.0	0.038,0.037,0.01	0.042,0.021,0.017	0.002
4	"ENSG00000224616"	NA	chr1	-	100251527	100265917	100251527	100253821	100258353	100265917	4	0,1,0	7,3,3	0,1,2	4,3,0	198	99	0.321992391391	0.6475624760196778	0.0,0.143,0.0	0.0,0.143,1.0	-0.333
5	"ENSG00000143851"	NA	chr1	-	202149850	202152699	202149850	202150424	202152537	202152699	5	1,0,2	84,90,94	1,0,1	186,159,169	198	99	1	1.0	0.006,0.0,0.011	0.003,0.0,0.003	0.004
7	"ENSG00000289408"	NA	chr1	-	164903098	164910110	164903098	164903342	164909151	164910110	7	2,1,0	545,545,540	1,2,4	280,255,271	198	99	1	1.0	0.002,0.001,0.0	0.002,0.004,0.007	-0.003
8	"ENSG00000224592"	NA	chr1	+	38105631	38119025	38105631	38105752	38118959	38119025	8	47,21,19	1,0,6	60,55,55	0,0,0	198	99	0.00243348520324	0.010487162423486665	0.959,1.0,0.613	1.0,1.0,1.0	-0.143
10	"ENSG00000184313"	NA	chr1	+	54670799	54673186	54670799	54670929	54673090	54673186	10	0,0,1	1,0,0	1,0,0	0,0,3	198	99	1	1.0	0.0,NA,1.0	1.0,NA,0.0	0.0
11	"ENSG00000232261"	NA	chr1	-	171751542	171752025	171751542	171751779	171751881	171752025	11	30,41,6	162,182,155	45,24,53	65,65,99	198	99	6.81823486559e-11	6.85611394817661e-10	0.085,0.101,0.019	0.257,0.156,0.211	-0.14
12	"ENSG00000225518"	NA	chr1	+	226086795	226090465	226086795	226087053	226089489	226090465	12	193,235,225	0,1,0	361,459,394	1,1,0	198	99	1	1.0	1.0,0.992,1.0	0.994,0.996,1.0	0.001
13	"ENSG00000204478"	NA	chr1	+	13416350	13418700	13416350	13416641	13418121	13418700	13	85,81,91	933,992,1002	132,104,136	1973,1928,2016	198	99	0.00515320646202	0.02169140394478186	0.044,0.039,0.043	0.032,0.026,0.033	0.012
14	"ENSG00000233069"	NA	chr1	+	20732879	20733952	20732879	20733025	20733799	20733952	14	12,9,8	0,0,0	11,12,19	0,0,1	198	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.905	0.032
15	"ENSG00000236866"	NA	chr1	-	117596831	117604399	117596831	117596994	117603998	117604399	15	63,74,69	705,711,719	78,70,78	740,734,803	198	99	0.831347501537	1.0	0.043,0.049,0.046	0.05,0.046,0.046	-0.001
16	"ENSG00000283773"	NA	chr1	-	16642766	16643109	16642766	16642850	16643027	16643109	16	1,2,2	18,8,4	1,1,1	10,16,2	198	99	0.223908785369	0.5065936268973624	0.027,0.111,0.2	0.048,0.03,0.2	0.02
17	"ENSG00000122218"	NA	chr1	-	160293165	160293463	160293165	160293234	160293385	160293463	17	0,0,0	2,0,2	1,0,1	3,4,3	198	99	1	1.0	0.0,NA,0.0	0.143,0.0,0.143	-0.095
18	"ENSG00000116962"	NA	chr1	-	236038103	236042292	236038103	236038253	236041909	236042292	18	7,10,12	0,1,1	5,5,1	4,3,8	198	99	1	1.0	1.0,0.833,0.857	0.385,0.455,0.059	0.597
19	"ENSG00000143294"	NA	chr1	+	156782281	156787174	156782281	156782329	156786607	156787174	19	5,10,1	12,16,10	5,2,4	30,24,28	198	99	0.0175967815599	0.06125033581426731	0.172,0.238,0.048	0.077,0.04,0.067	0.091
20	"ENSG00000058673"	NA	chr1	+	203848330	203850026	203848330	203848407	203849710	203850026	20	19,27,31	160,180,176	28,33,27	252,268,219	198	99	0.248623476985	0.548790845540061	0.056,0.07,0.081	0.053,0.058,0.058	0.013
21	"ENSG00000168679"	NA	chr1	-	110389236	110391082	110389236	110389355	110390864	110391082	21	17,20,14	59,53,44	8,14,15	90,109,110	198	99	5.75236226148e-05	0.0003590267480440966	0.126,0.159,0.137	0.043,0.06,0.064	0.085
22	"ENSG00000126067"	NA	chr1	-	35599540	35605282	35599540	35603374	35605232	35605282	22	205,244,247	12,22,13	135,110,125	23,46,36	198	99	2.47075560011e-09	2.2360338180995497e-08	0.895,0.847,0.905	0.746,0.545,0.635	0.24
23	"ENSG00000228852"	NA	chr1	-	95248967	95261131	95248967	95249448	95260821	95261131	23	8,7,6	22,24,8	9,18,16	9,5,9	198	99	0.000232915893109	0.0012775083834160302	0.154,0.127,0.273	0.333,0.643,0.471	-0.298
24	"ENSG00000185278"	NA	chr1	+	173873466	173903547	173873466	173873643	173885635	173903547	24	6,8,3	136,128,117	8,7,6	116,114,140	198	99	0.455082147622	0.8405088644855306	0.022,0.03,0.013	0.033,0.03,0.021	-0.006
25	"ENSG00000289893"	NA	chr1	-	5733357	5744491	5733357	5734553	5744375	5744491	25	2,1,0	16,12,14	0,1,0	5,9,9	198	99	0.518508044493	0.9024034235887789	0.059,0.04,0.0	0.0,0.053,0.0	0.015
26	"ENSG00000229828"	NA	chr1	+	148081647	148082390	148081647	148081761	148082202	148082390	26	2,4,0	4,6,9	3,4,0	2,4,4	198	99	0.278792648782	0.5867612724365349	0.2,0.25,0.0	0.429,0.333,0.0	-0.104
27	"ENSG00000143498"	NA	chr1	-	222564058	222569424	222564058	222564125	222568828	222569424	27	239,224,232	59,57,51	101,95,122	81,111,104	198	99	0	0.0	0.669,0.663,0.695	0.384,0.3,0.37	0.324
28	"ENSG00000237330"	NA	chr1	-	1070966	1074306	1070966	1072575	1074015	1074306	28	3,3,2	7,1,1	1,3,4	3,4,0	198	99	0.739184212765	1.0	0.176,0.6,0.5	0.143,0.273,1.0	-0.047
29	"ENSG00000162711"	NA	chr1	+	247416155	247419077	247416155	247416193	247418052	247419077	29	2982,2972,2932	23,27,14	2901,2979,2928	13,20,19	198	99	0.336131702362	0.6544775855562903	0.985,0.982,0.991	0.991,0.987,0.987	-0.002
31	"ENSG00000178104"	NA	chr1	+	148915506	148931923	148915506	148915750	148929136	148931923	31	21,18,29	339,358,362	13,13,10	719,700,688	198	99	5.0055165568e-09	4.314278556099048e-08	0.03,0.025,0.039	0.009,0.009,0.007	0.023
32	"ENSG00000067533"	NA	chr1	+	218285292	218302671	218285292	218285455	218302293	218302671	32	22,24,23	0,0,1	11,11,11	8,3,5	198	99	1.26459809291e-09	1.2046960779826841e-08	1.0,1.0,0.92	0.407,0.647,0.524	0.447
33	"ENSG00000162775"	NA	chr1	+	110345538	110346681	110345538	110345649	110346307	110346681	33	11,12,14	0,1,0	8,6,5	1,2,0	198	99	0.658864129443	1.0	1.0,0.857,1.0	0.8,0.6,1.0	0.152
34	"ENSG00000224939"	NA	chr1	+	234629310	234634780	234629310	234629747	234632947	234634780	34	8315,8261,8072	6489,6389,6499	16398,16474,16325	3237,3154,3222	198	99	0	0.0	0.391,0.393,0.383	0.717,0.723,0.717	-0.33
35	"ENSG00000234396"	NA	chr1	+	2212522	2220738	2212522	2212644	2220534	2220738	35	24,21,28	1,1,0	32,24,21	1,0,1	198	99	1	1.0	0.923,0.913,1.0	0.941,1.0,0.913	-0.006
36	"ENSG00000122484"	NA	chr1	+	92307187	92320634	92307187	92307276	92320598	92320634	36	3,0,6	1,0,0	4,4,4	1,0,0	198	99	1	1.0	0.6,NA,1.0	0.667,1.0,1.0	-0.089
37	"ENSG00000117000"	NA	chr1	+	40222573	40231658	40222573	40222710	40231516	40231658	37	22,19,13	4,5,1	12,7,16	6,6,9	198	99	0.00535548953005	0.0220305364758875	0.733,0.655,0.867	0.5,0.368,0.471	0.305
38	"ENSG00000177553"	NA	chr1	-	11777076	11778807	11777076	11778284	11778644	11778807	38	5,10,5	1,2,2	5,3,13	0,0,2	198	99	0.00714444600814	0.028111841901594346	0.714,0.714,0.556	1.0,1.0,0.765	-0.26
40	"ENSG00000160679"	NA	chr1	+	153636571	153644385	153636571	153638448	153642242	153644385	40	0,1,2	1,2,3	1,2,1	0,0,2	198	99	0.00228696778058	0.01009612605573122	0.0,0.2,0.25	1.0,1.0,0.2	-0.583
