# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000142687_1	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:t:35557048-35557433	ENSG00000142687_1_afe_1	False	False	35557048-35557433	A	35557550-35557655	Proximal	35557433-35557550	False	False	False	17	27	4.931e-01	5.686e-01	4.479e-02	5.071e-02	2.024e-01
ENSG00000142687_1	ENSG00000142687	ENSG00000142687	1	-	ENSG00000142687:t:35557048-35557433	ENSG00000142687_1_afe_1	False	False	35557048-35557433	A	35557711-35557950	Distal	35557433-35557711	False	False	False	24	20	5.069e-01	4.314e-01	-4.479e-02	5.071e-02	2.024e-01
ENSG00000248333_1	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:t:1657256-1657302	ENSG00000248333_1_afe_1	False	False	1657256-1657302	A	1657375-1657498	Proximal	1657302-1657375	False	False	False	16	10	1.186e-01	6.464e-02	-3.630e-02	5.354e-06	4.229e-01
ENSG00000248333_1	ENSG00000248333	ENSG00000248333	1	-	ENSG00000248333:t:1657256-1657302	ENSG00000248333_1_afe_1	False	False	1657256-1657302	A	1658914-1659012	Distal	1657302-1658914	False	False	False	111	127	8.814e-01	9.354e-01	3.630e-02	5.354e-06	4.229e-01
ENSG00000077157_1	ENSG00000077157	ENSG00000077157	1	+	ENSG00000077157:t:202422620-202422738	ENSG00000077157_1_afe_1	False	False	202422620-202422738	A	202416787-202416917	Proximal	202416917-202422620	False	False	False	33	81	5.942e-02	2.404e-01	1.720e-01	2.128e-01	3.707e-09
ENSG00000077157_1	ENSG00000077157	ENSG00000077157	1	+	ENSG00000077157:t:202422620-202422738	ENSG00000077157_1_afe_1	False	False	202422620-202422738	A	202348699-202349142	Distal	202349142-202422620	False	False	False	529	256	9.406e-01	7.596e-01	-1.720e-01	2.128e-01	3.647e-09
ENSG00000143543_1	ENSG00000143543	ENSG00000143543	1	-	ENSG00000143543:t:153974269-153974835	ENSG00000143543_1_afe_1	False	False	153974269-153974835	A	153975817-153975905	Proximal	153974835-153975817	False	False	False	13	13	8.410e-01	8.765e-01	1.568e-02	2.320e-02	2.895e-01
ENSG00000143543_1	ENSG00000143543	ENSG00000143543	1	-	ENSG00000143543:t:153974269-153974835	ENSG00000143543_1_afe_1	False	False	153974269-153974835	A	153976693-153977013	Distal	153974835-153976693	False	False	False	2	3	1.590e-01	1.235e-01	-1.568e-02	2.320e-02	2.895e-01
ENSG00000143799_1	ENSG00000143799	ENSG00000143799	1	-	ENSG00000143799:t:226392917-226392980	ENSG00000143799_1_afe_1	False	False	226392917-226392980	A	226399195-226402379	Proximal	226392980-226399195	False	False	False	193	90	9.705e-01	8.619e-01	-1.112e-01	1.247e-02	3.051e-02
ENSG00000143799_1	ENSG00000143799	ENSG00000143799	1	-	ENSG00000143799:t:226392917-226392980	ENSG00000143799_1_afe_1	False	False	226392917-226392980	A	226407810-226408154	Distal	226392980-226407810	False	False	False	6	15	2.948e-02	1.381e-01	1.112e-01	1.247e-02	3.051e-02
ENSG00000134253_1	ENSG00000134253	ENSG00000134253	1	-	ENSG00000134253:t:117118034-117118767	ENSG00000134253_1_afe_1	False	False	117118034-117118767	A	117120714-117121792	Proximal	117118767-117120714	False	False	False	5	6	4.291e-02	5.926e-02	1.510e-02	1.130e-20	6.350e-01
ENSG00000134253_1	ENSG00000134253	ENSG00000134253	1	-	ENSG00000134253:t:117118034-117118767	ENSG00000134253_1_afe_1	False	False	117118034-117118767	A	117121799-117122587	Distal	117118767-117121799	False	False	False	120	103	9.571e-01	9.407e-01	-1.510e-02	1.069e-10	6.350e-01
ENSG00000171612_1	ENSG00000171612	ENSG00000171612	1	+	ENSG00000171612:t:9567284-9567361	ENSG00000171612_1_afe_1	False	False	9567284-9567361	A	9553626-9553805	Proximal	9553805-9567284	False	False	False	54	46	4.436e-01	3.710e-01	-5.534e-02	1.376e-02	2.146e-01
ENSG00000171612_1	ENSG00000171612	ENSG00000171612	1	+	ENSG00000171612:t:9567284-9567361	ENSG00000171612_1_afe_1	False	False	9567284-9567361	A	9539465-9539747	Distal	9539747-9567284	False	False	False	63	76	5.564e-01	6.290e-01	5.534e-02	1.376e-02	2.146e-01
ENSG00000176754_1	ENSG00000176754	ENSG00000176754	1	-	ENSG00000176754:t:204036969-204037588	ENSG00000176754_1_afe_1	False	False	204036969-204037588	A	204040169-204040394	Proximal	204037588-204040169	False	False	False	2	1	1.222e-01	6.484e-02	-3.088e-02	2.199e-02	3.128e-01
