# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000116793_4	ENSG00000116793	ENSG00000116793	1	-	ENSG00000116793:s:113713279-113715212	ENSG00000116793_4_A5_1	False	False	113713279-113715212	E2	113711940-113712113	Proximal	113712113-113713279	780	False	False	False	21	19	9.873e-02	4.591e-02	-4.497e-02	1.187e-09	3.049e-01
ENSG00000116793_4	ENSG00000116793	ENSG00000116793	1	-	ENSG00000116793:s:113713279-113715212	ENSG00000116793_4_A5_1	False	False	113713279-113715212	E2	113711940-113712113	Distal	113712113-113714059	780	False	False	False	198	370	9.013e-01	9.541e-01	4.497e-02	1.477e-09	3.049e-01
ENSG00000286185_3	ENSG00000286185	ENSG00000286185	1	+	ENSG00000286185:t:149477945-149478047	ENSG00000286185_3_A5_1	False	False	149477945-149478047	E1	149475641-149476107	Proximal	149476107-149477945	312	False	False	False	271	557	8.833e-01	9.345e-01	4.172e-02	2.855e-10	4.951e-01
ENSG00000286185_3	ENSG00000286185	ENSG00000286185	1	+	ENSG00000286185:t:149477945-149478047	ENSG00000286185_3_A5_1	False	True	149477945-149478047	E1	149475641-149476107	Distal	149475795-149477945	312	False	False	False	107	59	1.163e-01	6.530e-02	-4.135e-02	2.529e-10	4.968e-01
ENSG00000116729_3	ENSG00000116729	ENSG00000116729	1	-	ENSG00000116729:s:68155099-68155260	ENSG00000116729_3_A5_1	False	False	68155099-68155260	E2	68153517-68153653	Proximal	68153653-68155099	99	False	False	False	36	24	1.401e-01	5.422e-02	-7.078e-02	3.839e-05	2.015e-01
ENSG00000116729_3	ENSG00000116729	ENSG00000116729	1	-	ENSG00000116729:s:68155099-68155260	ENSG00000116729_3_A5_1	False	False	68155099-68155260	E2	68153517-68153653	Distal	68153653-68155198	99	False	False	False	253	447	8.599e-01	9.458e-01	7.078e-02	3.839e-05	2.015e-01
ENSG00000174502_3	ENSG00000174502	ENSG00000174502	1	-	ENSG00000174502:s:205927902-205928386	ENSG00000174502_3_A5_1	False	False	205927902-205928386	E2	205927492-205927605	Proximal	205927605-205927902	37	False	False	False	40	20	4.738e-01	1.715e-01	-2.995e-01	9.399e-01	3.810e-06
ENSG00000174502_3	ENSG00000174502	ENSG00000174502	1	-	ENSG00000174502:s:205927902-205928386	ENSG00000174502_3_A5_1	False	False	205927902-205928386	E2	205927492-205927605	Distal	205927605-205927939	37	False	False	False	42	87	5.262e-01	8.285e-01	2.995e-01	9.399e-01	3.810e-06
ENSG00000135842_3	ENSG00000135842	ENSG00000135842	1	-	ENSG00000135842:s:184884633-184884800	ENSG00000135842_3_A5_1	False	False	184884633-184884800	E2	184867864-184868558	Proximal	184868558-184884633	164	False	False	False	2	2	3.289e-02	6.423e-02	1.457e-02	1.200e-04	5.641e-01
ENSG00000135842_3	ENSG00000135842	ENSG00000135842	1	-	ENSG00000135842:s:184884633-184884800	ENSG00000135842_3_A5_1	False	False	184884633-184884800	E2	184867864-184868558	Distal	184868558-184884797	164	False	False	False	27	33	9.671e-01	9.358e-01	-1.457e-02	1.200e-04	5.641e-01
ENSG00000143036_4	ENSG00000143036	ENSG00000143036	1	+	ENSG00000143036:s:94827439-94827643	ENSG00000143036_4_A5_1	False	False	94827439-94827643	E2	94828493-94828586	Proximal	94827643-94828493	87	False	True	True	129	58	6.186e-01	2.706e-01	-3.530e-01	9.984e-01	1.304e-12
ENSG00000143036_4	ENSG00000143036	ENSG00000143036	1	+	ENSG00000143036:s:94827439-94827643	ENSG00000143036_4_A5_1	False	False	94827439-94827643	E2	94828493-94828586	Distal	94827556-94828493	87	False	True	True	84	160	3.814e-01	7.294e-01	3.530e-01	9.984e-01	1.305e-12
ENSG00000271383_2	ENSG00000271383	ENSG00000271383	1	+	ENSG00000271383:s:149480142-149480214	ENSG00000271383_2_A5_1	False	False	149480142-149480214	E2	149480679-149480884	Proximal	149480214-149480679	33	False	True	True	152	306	1.978e-01	4.835e-01	2.889e-01	9.949e-01	2.850e-20
