ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000287531"	NA	chr1	-	244184952	244185225	244184952	244185091	244187236	244187559	0	615,608,629	17,4,20	541,697,582	34,23,36	233	99	1.72216655592e-05	0.00017544571788435	0.939,0.985,0.93	0.871,0.928,0.873	0.061
1	"ENSG00000025800"	NA	chr1	+	32159399	32159531	32159444	32159531	32158266	32158361	1	7,11,12	0,0,1	9,5,4	0,1,0	144	99	1	1.0	1.0,1.0,0.892	1.0,0.775,1.0	0.039
2	"ENSG00000288078"	NA	chr1	+	186227542	186228191	186228120	186228191	186224471	186224503	2	18,6,8	18,4,2	2,2,4	2,2,2	677	99	0.425998025128	1.0	0.128,0.18,0.369	0.128,0.128,0.226	0.065
3	"ENSG00000117569"	NA	chr1	+	96722029	96722107	96722104	96722107	96721664	96721896	3	187,193,168	3,1,1	383,344,401	0,2,4	174	99	0.901956507492	1.0	0.973,0.991,0.99	1.0,0.99,0.983	-0.006
4	"ENSG00000279049"	NA	chr1	-	54099967	54100123	54099967	54099975	54100125	54100224	4	25,20,12	683,665,645	3,12,2	1130,1221,1137	247	99	0.637959141156	1.0	0.014,0.012,0.007	0.001,0.004,0.001	0.009
6	"ENSG00000094963"	NA	chr1	+	171188913	171188968	171188927	171188968	171185523	171186366	6	4,3,5	67,71,70	4,3,2	58,81,53	113	99	0.564356614969	1.0	0.05,0.036,0.059	0.057,0.031,0.032	0.008
7	"ENSG00000123473"	NA	chr1	-	47304888	47305317	47304888	47305253	47310275	47310362	7	7,3,10	0,0,0	2,4,0	0,3,1	163	99	0.0536831711049	0.21764807729213415	1.0,1.0,1.0	1.0,0.447,0.0	0.518
8	"ENSG00000198574"	NA	chr1	-	162398922	162399087	162398922	162399048	162402476	162402802	8	1,0,1	1099,1037,1072	1,0,0	521,541,552	138	99	1	1.0	0.001,0.0,0.001	0.001,0.0,0.0	0.0
9	"ENSG00000236274"	NA	chr1	+	35510106	35510335	35510109	35510335	35509741	35509902	9	0,1,2	18,10,9	4,2,1	17,13,30	102	99	0.107842725483	0.3740077500793404	0.0,0.088,0.177	0.186,0.13,0.031	-0.027
11	"ENSG00000203668"	NA	chr1	-	241628850	241636073	241628850	241628984	241639182	241639249	11	282,221,269	42,37,42	355,406,509	13,28,21	7188	99	5.53695977956e-10	9.0252444406828e-09	0.085,0.076,0.081	0.273,0.166,0.25	-0.149
12	"ENSG00000196240"	NA	chr1	+	248449193	248449392	248449311	248449392	248446588	248446811	12	0,0,3	3,0,0	0,0,0	0,0,1	217	99	1	1.0	0.0,NA,1.0	NA,NA,0.0	0.5
13	"ENSG00000227409"	NA	chr1	-	35358821	35359168	35358821	35359002	35365965	35366077	13	23,24,14	4,2,10	8,14,4	14,22,11	265	99	4.40086906258e-05	0.0003985231428891889	0.682,0.818,0.343	0.176,0.192,0.12	0.452
14	"ENSG00000163159"	NA	chr1	-	151184316	151184493	151184316	151184325	151185505	151185950	14	213,299,287	0,1,0	212,253,266	0,0,0	267	99	1	1.0	1.0,0.991,1.0	1.0,1.0,1.0	-0.003
16	"ENSG00000290867"	NA	chr1	-	145164098	145169086	145164098	145165384	145169526	145169615	16	10,8,2	487,489,439	4,6,2	478,482,479	3801	99	1	1.0	0.001,0.0,0.0	0.0,0.0,0.0	0.0
17	"ENSG00000203897"	NA	chr1	+	108858384	108858524	108858385	108858524	108858157	108858363	17	145,114,160	2003,1926,1956	264,257,315	985,958,995	100	99	0	0.0	0.067,0.055,0.075	0.21,0.21,0.239	-0.154
18	"ENSG00000291137"	NA	chr1	-	155215053	155215787	155215053	155215772	155216383	155217029	18	0,2,1	1,1,2	1,0,1	3,5,4	114	99	0.562641816974	1.0	0.0,0.635,0.303	0.224,0.0,0.178	0.179
21	"ENSG00000233653"	NA	chr1	+	489716	489906	489757	489906	487100	489387	21	613,529,546	17,24,11	618,596,627	15,12,14	140	99	0.147127673951	0.4475050299012963	0.962,0.94,0.972	0.967,0.972,0.969	-0.011
22	"ENSG00000116459"	NA	chr1	+	111456085	111456249	111456109	111456249	111454210	111454356	22	62,56,68	36,39,25	56,80,77	40,33,35	123	99	0.835315102778	1.0	0.581,0.536,0.686	0.53,0.661,0.639	-0.009
23	"ENSG00000066279"	NA	chr1	-	197143956	197144100	197143956	197143996	197146140	197146694	23	4,8,2	3,5,3	7,5,8	2,2,2	203	99	0.0659776181861	0.2501012038217279	0.394,0.438,0.245	0.631,0.549,0.661	-0.255
24	"ENSG00000066185"	NA	chr1	-	42435273	42435522	42435273	42435325	42436420	42436543	24	0,0,1	11,5,7	2,0,0	8,7,5	296	99	1	1.0	0.0,0.0,0.046	0.077,0.0,0.0	-0.01
25	"ENSG00000162438"	NA	chr1	+	15443418	15443555	15443447	15443555	15442446	15442572	25	8,11,12	262,327,272	7,12,8	250,259,265	128	99	0.885404249761	1.0	0.023,0.025,0.033	0.021,0.035,0.023	0.001
27	"ENSG00000227773"	NA	chr1	-	155396009	155396402	155396009	155396301	155396923	155396978	27	72,92,46	0,0,0	39,27,38	0,1,1	200	99	1	1.0	1.0,1.0,1.0	1.0,0.93,0.95	0.04
28	"ENSG00000132703"	NA	chr1	+	159588100	159588865	159588147	159588865	159587825	159587985	28	8,3,6	0,0,0	11,5,4	1,1,1	146	99	0.418733667934	1.0	1.0,1.0,1.0	0.882,0.772,0.731	0.205
29	"ENSG00000010803"	NA	chr1	-	41116921	41117010	41116921	41116940	41142877	41143112	29	0,0,0	406,407,423	1,0,1	208,204,183	169	99	1	1.0	0.0,0.0,0.0	0.003,0.0,0.003	-0.002
30	"ENSG00000236434"	NA	chr1	-	51264915	51265215	51264915	51265174	51265939	51266074	30	1,1,1	22,29,16	1,0,3	53,52,38	140	99	1	1.0	0.031,0.024,0.042	0.013,0.0,0.053	0.01
31	"ENSG00000239945"	NA	chr1	-	89550	90050	89550	89729	90286	91105	31	8,13,17	745,720,677	4,8,13	696,729,702	420	99	1	1.0	0.003,0.004,0.006	0.001,0.003,0.004	0.002
32	"ENSG00000231966"	NA	chr1	-	179829608	179829831	179829608	179829751	179835994	179836124	32	1,2,2	0,2,0	1,1,1	0,1,1	179	99	0.599589895659	1.0	1.0,0.356,1.0	1.0,0.356,0.356	0.215
