# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000213366_1	ENSG00000213366	ENSG00000213366	1	+	ENSG00000213366:t:109705231-109709551	ENSG00000213366_1_pAFE_1	False	True	109708893-109709551	A	na-109702886	Proximal	109702886-109708893	False	False	False	47	57	5.415e-02	6.233e-02	6.662e-03	8.166e-21	8.015e-01
ENSG00000213366_1	ENSG00000213366	ENSG00000213366	1	+	ENSG00000213366:t:109705231-109709551	ENSG00000213366_1_pAFE_1	False	False	109705231-109709551	A	109683207-109683997	Distal	109683997-109705231	False	False	False	538	572	9.158e-01	9.375e-01	1.808e-03	6.560e-21	9.422e-01
ENSG00000229983_1	ENSG00000229983	ENSG00000229983	1	+	ENSG00000229983:t:212190041-212190259	ENSG00000229983_1_pAFE_1	True	True	212190041-212190259	A	na-212183833	Proximal	212183833-212190041	False	False	False	16	26	4.066e-02	5.401e-02	1.532e-02	1.088e-20	6.640e-01
ENSG00000229983_1	ENSG00000229983	ENSG00000229983	1	+	ENSG00000229983:t:212190041-212190259	ENSG00000229983_1_pAFE_1	True	False	212190041-212190259	A	212168594-212168715	Distal	212168715-212190041	False	False	False	235	441	8.899e-01	9.385e-01	3.533e-02	7.444e-08	4.412e-01
ENSG00000229983_1	ENSG00000229983	ENSG00000229983	1	+	ENSG00000229983:t:212190041-212190259	ENSG00000229983_1_pAFE_2	True	True	212190041-212190259	A	na-212183833	Proximal	212183833-212190041	False	False	False	16	26	4.066e-02	5.401e-02	1.532e-02	1.088e-20	6.640e-01
ENSG00000229983_1	ENSG00000229983	ENSG00000229983	1	+	ENSG00000229983:t:212190041-212190259	ENSG00000229983_1_pAFE_2	True	False	212190041-212190259	A	212170186-212170295	Distal	212170295-212190041	False	False	False	15	5	7.025e-02	7.569e-03	-4.568e-02	1.898e-20	4.886e-01
ENSG00000134371_2	ENSG00000134371	ENSG00000134371	1	+	ENSG00000134371:t:193236256-193236356	ENSG00000134371_2_pAFE_1	False	True	193236256-193236356	A	na-193234140	Proximal	193234140-193236256	False	False	False	3105	1650	2.762e-01	2.511e-01	-1.923e-02	1.179e-20	6.512e-01
ENSG00000134371_2	ENSG00000134371	ENSG00000134371	1	+	ENSG00000134371:t:193236256-193236356	ENSG00000134371_2_pAFE_1	False	False	193236256-193236356	A	193232993-193233154	Distal	193233154-193236256	False	False	False	5289	2775	7.238e-01	7.489e-01	1.923e-02	1.047e-20	6.512e-01
ENSG00000213064_1	ENSG00000213064	ENSG00000213064	1	+	ENSG00000213064:t:168242501-168253021	ENSG00000213064_1_pAFE_1	True	False	168242501-168249467	A	168239131-168239160	Proximal	168239160-168242501	False	False	False	6704	3342	9.382e-01	9.579e-01	5.065e-02	1.889e-20	4.770e-01
ENSG00000213064_1	ENSG00000213064	ENSG00000213064	1	+	ENSG00000213064:t:168242501-168253021	ENSG00000213064_1_pAFE_1	True	True	168249467-168249467	A	na-168241423	Distal	168241423-168249467	False	False	False	669	439	6.179e-02	4.206e-02	-5.065e-02	2.026e-20	4.770e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_1	True	True	1175983-1176015	A	na-1175957	Proximal	1175957-1175983	False	False	False		59	4.776e-04	6.288e-02	4.664e-02	1.873e-20	4.911e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_1	True	True	1175983-1176015	A	na-1175899	Distal	1175899-1175983	False	False	False	51	193	6.681e-02	2.177e-01	1.501e-01	5.382e-02	1.570e-03
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_2	True	False	1175983-1176015	A	1175958-1175982	Proximal	1175982-1175983	False	False	False	217	425	9.327e-01	7.194e-01	-2.111e-01	6.264e-01	3.172e-09
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_2	True	True	1175983-1176015	A	na-1175899	Distal	1175899-1175983	False	False	False	51	193	6.681e-02	2.177e-01	1.501e-01	5.382e-02	1.570e-03
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175958-1175982	ENSG00000162571_1_pAFE_3	True	True	1175958-1175982	A	na-1175932	Proximal	1175932-1175958	True	False	False	7	21	2.073e-02	1.681e-02	-1.273e-04	7.176e-21	9.959e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175958-1175982	ENSG00000162571_1_pAFE_3	True	False	1175958-1175982	A	1174521-1175034	Distal	1175034-1175958	True	False	False	217	425	9.793e-01	9.832e-01	1.273e-04	7.173e-21	9.959e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pAFE_4	True	True	1176064-1176088	A	na-1175957	Proximal	1175957-1176064	False	False	False	12	44	6.209e-02	8.818e-02	5.843e-03	8.195e-21	8.422e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pAFE_4	True	True	1176064-1176088	A	na-1175932	Distal	1175932-1176064	False	False	False		58	2.725e-04	7.202e-02	5.117e-02	1.986e-20	4.748e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pAFE_5	True	False	1176064-1176088	A	1176016-1176063	Proximal	1176063-1176064	False	False	False	217	425	8.934e-01	7.826e-01	-1.125e-01	1.044e-03	1.884e-02
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pAFE_5	True	True	1176064-1176088	A	na-1175932	Distal	1175932-1176064	False	False	False		58	2.725e-04	7.202e-02	5.117e-02	1.986e-20	4.748e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_6	True	True	1176089-1176171	A	1176016-1176063	Proximal	1176040-1176089	False	False	False	37	43	8.494e-02	5.333e-02	-1.333e-02	1.071e-20	6.797e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_6	True	True	1176122-1176171	A	na-1175932	Distal	1175932-1176122	False	False	False	38	42	1.275e-01	1.118e-01	-4.413e-03	7.836e-21	8.478e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_7	True	False	1176089-1176171	A	1176064-1176088	Proximal	1176088-1176089	False	False	False	217	425	7.430e-01	7.828e-01	2.358e-02	8.789e-09	5.721e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_7	True	True	1176122-1176171	A	na-1175932	Distal	1175932-1176122	False	False	False	38	42	1.275e-01	1.118e-01	-4.413e-03	7.836e-21	8.478e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_8	True	True	1176089-1176171	A	1176016-1176063	Proximal	1176040-1176089	False	False	False	37	43	8.494e-02	5.333e-02	-1.333e-02	1.071e-20	6.797e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_8	True	True	1176147-1176171	A	na-1175932	Distal	1175932-1176147	False	False	False	13	10	4.196e-02	1.625e-02	-4.331e-03	8.334e-21	8.823e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_9	True	False	1176089-1176171	A	1176064-1176088	Proximal	1176088-1176089	False	False	False	217	425	7.430e-01	7.828e-01	2.358e-02	8.789e-09	5.721e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pAFE_9	True	True	1176147-1176171	A	na-1175932	Distal	1175932-1176147	False	False	False	13	10	4.196e-02	1.625e-02	-4.331e-03	8.334e-21	8.823e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_10	True	True	1175983-1176015	A	na-1175957	Proximal	1175957-1175983	False	False	False		59	4.776e-04	6.288e-02	4.664e-02	1.873e-20	4.911e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1175983-1176015	ENSG00000162571_1_pAFE_10	True	True	1175983-1176015	A	na-1175899	Distal	1175899-1175983	False	False	False	51	193	6.681e-02	2.177e-01	1.501e-01	5.382e-02	1.570e-03
