# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1175958-1175982	ENSG00000162571_1_pA5_1	True	True	1175958-1175982	E3	1176280-1176312	Distal	1175982-1176280	27	False	False	False	49	69	7.004e-02	9.217e-02	7.897e-03	8.792e-21	7.814e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1175958-1175982	ENSG00000162571_1_pA5_1	True	False	1175958-1175982	E2	1176064-1176088	Intron	1175982-1175983	27	False	False	False	217	425	9.295e-01	8.647e-01	-5.327e-02	6.386e-10	3.959e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176230-1176312	ENSG00000162571_1_pA5_1	True	True	1176280-1176312	E1	1175958-1175982	Distal	1175982-1176280	27	False	False	False	49	69	4.864e-02	7.490e-02	1.965e-02	1.175e-20	6.517e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176230-1176312	ENSG00000162571_1_pA5_1	True	True	1176280-1176312	E2	1176064-1176088	Proximal	1176088-1176280	27	False	False	False		31	1.668e-04	8.975e-02	5.625e-02	2.243e-20	3.724e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1175958-1175982	ENSG00000162571_1_pA5_2	True	True	1175958-1175982	E3	1176280-1176312	Distal	1175982-1176280	27	False	False	False	49	69	7.004e-02	9.217e-02	7.897e-03	8.792e-21	7.814e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1175958-1175982	ENSG00000162571_1_pA5_2	True	False	1175958-1175982	E2	1176172-1176196	Intron	1175982-1175983	27	False	False	False	217	425	9.295e-01	8.647e-01	-5.327e-02	6.386e-10	3.959e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176230-1176312	ENSG00000162571_1_pA5_2	True	True	1176280-1176312	E1	1175958-1175982	Distal	1175982-1176280	27	False	False	False	49	69	4.864e-02	7.490e-02	1.965e-02	1.175e-20	6.517e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176230-1176312	ENSG00000162571_1_pA5_2	True	True	1176280-1176312	E2	1176172-1176196	Proximal	1176196-1176280	27	False	False	False	95	127	2.789e-01	7.003e-02	-2.100e-01	6.244e-01	8.284e-12
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1176016-1176063	ENSG00000162571_1_pA5_3	True	True	1176016-1176063	E3	1176172-1176196	Distal	1176063-1176172	27	False	False	False	41	77	5.320e-02	1.010e-01	3.386e-02	1.675e-20	3.953e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:1176016-1176063	ENSG00000162571_1_pA5_3	True	False	1176016-1176063	E2	1176064-1176088	Intron	1176063-1176064	27	False	False	False	217	425	8.487e-01	8.437e-01	-5.463e-03	2.130e-19	7.266e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176172-1176196	ENSG00000162571_1_pA5_3	True	True	1176172-1176196	E1	1176016-1176063	Distal	1176063-1176172	27	False	False	False	41	77	5.503e-02	1.070e-01	4.131e-02	1.895e-20	3.470e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176172-1176196	ENSG00000162571_1_pA5_3	True	True	1176172-1176196	E2	1176064-1176088	Proximal	1176088-1176172	27	False	False	False	13	2	5.933e-02	1.703e-03	-3.502e-02	1.681e-20	5.402e-01
