ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000184908"	NA	chr1	+	16056523	16056567	16056421	16056508	16056868	16057311
1	"ENSG00000163565"	NA	chr1	+	159045296	159045464	159032503	159032691	159049431	159049599
2	"ENSG00000163565"	NA	chr1	+	159049431	159049599	159045296	159045464	159051678	159053724
3	"ENSG00000058673"	NA	chr1	+	203814904	203814972	203796292	203803016	203816925	203817124
4	"ENSG00000058673"	NA	chr1	+	203833936	203834102	203833790	203833853	203837965	203838064
5	"ENSG00000058673"	NA	chr1	+	203851056	203851124	203850173	203850681	203852140	203854999
6	"ENSG00000120341"	NA	chr1	-	177930544	177930643	177927565	177929929	177932489	177932569
7	"ENSG00000120341"	NA	chr1	-	177932697	177932806	177932489	177932569	177933213	177933312
8	"ENSG00000120341"	NA	chr1	-	177948389	177948644	177947824	177947942	177951913	177951995
9	"ENSG00000213366"	NA	chr1	+	109683206	109683997	109681808	109681834	109701651	109702442
10	"ENSG00000136628"	NA	chr1	-	219988589	219988823	219987141	219987404	219996982	219997342
15	"ENSG00000268575"	NA	chr1	-	1708179	1708245	1707524	1707584	1708793	1708952
16	"ENSG00000268575"	NA	chr1	-	1709517	1709640	1709037	1709133	1712263	1712400
17	"ENSG00000268575"	NA	chr1	-	1712263	1712400	1709517	1709640	1716345	1716478
20	"ENSG00000271425"	NA	chr1	-	146156479	146156815	146144906	146145061	146164750	146165010
35	"ENSG00000271383"	NA	chr1	+	149477944	149478047	149475044	149476107	149478879	149479094
37	"ENSG00000271383"	NA	chr1	+	149542734	149542786	149541852	149542025	149543412	149543585
38	"ENSG00000271383"	NA	chr1	+	149543412	149543585	149542734	149542786	149544299	149544408
40	"ENSG00000283761"	NA	chr1	+	100015301	100015420	100011364	100011533	100017681	100017815
50	"ENSG00000286185"	NA	chr1	+	149463490	149463826	149455317	149455577	149475640	149476107
51	"ENSG00000286185"	NA	chr1	+	149475640	149476107	149463490	149463826	149477944	149478047
53	"ENSG00000268043"	NA	chr1	+	146946554	146946607	146943290	146943562	146949323	146949422
54	"ENSG00000268043"	NA	chr1	+	146960108	146960318	146959858	146960006	146962160	146962263
55	"ENSG00000268043"	NA	chr1	+	146971182	146971394	146970646	146970719	146972750	146972960
56	"ENSG00000268043"	NA	chr1	+	146972750	146972960	146971182	146971394	146974738	146974841
58	"ENSG00000268043"	NA	chr1	+	146986351	146986524	146985704	146985756	146987953	146988126
59	"ENSG00000268043"	NA	chr1	+	146987233	146987285	146986351	146986524	146987953	146988126
60	"ENSG00000268043"	NA	chr1	+	146989573	146989746	146988840	146988949	146991112	146991285
61	"ENSG00000268043"	NA	chr1	+	146989573	146989746	146988840	146988949	146992711	146992884
62	"ENSG00000268043"	NA	chr1	+	146990465	146990517	146989573	146989746	146991112	146991285
63	"ENSG00000268043"	NA	chr1	+	146990465	146990517	146989573	146989746	146992711	146992884
107	"ENSG00000248333"	NA	chr1	-	1635936	1636126	1635224	1635856	1636332	1636481
160	"ENSG00000269713"	NA	chr1	-	149056511	149056620	149052185	149055899	149057334	149057507
161	"ENSG00000269713"	NA	chr1	-	149058163	149058215	149057334	149057507	149058924	149059097
162	"ENSG00000008128"	NA	chr1	-	1709478	1709640	1709037	1709133	1712263	1712427
163	"ENSG00000008128"	NA	chr1	-	1712263	1712427	1709478	1709640	1716345	1716478
165	"ENSG00000270629"	NA	chr1	-	148640015	148640089	148615690	148615950	148679461	148679742
175	"ENSG00000117620"	NA	chr1	+	99993042	99993098	99974970	99975069	99993536	99993745
176	"ENSG00000117620"	NA	chr1	+	100007033	100009576	99999260	99999415	100011364	100011533
177	"ENSG00000117620"	NA	chr1	+	100011364	100011533	100007033	100009576	100015301	100015697
178	"ENSG00000117620"	NA	chr1	+	100015301	100015697	100011364	100011533	100017681	100017881
179	"ENSG00000203710"	NA	chr1	+	207565837	207565923	207564131	207564234	207567823	207568042
180	"ENSG00000203710"	NA	chr1	+	207567823	207568042	207565837	207565923	207569058	207569238
184	"ENSG00000156875"	NA	chr1	+	100080495	100080659	100078450	100078548	100082002	100083377
185	"ENSG00000143543"	NA	chr1	-	153975816	153975905	153974268	153974835	153976692	153977013
186	"ENSG00000143543"	NA	chr1	-	153976692	153977013	153975816	153975905	153977169	153977674
263	"ENSG00000241860"	NA	chr1	-	172556	172688	169048	169264	173752	173862
264	"ENSG00000291135"	NA	chr1	+	121090071	121091051	121087820	121088908	121092995	121093801
269	"ENSG00000263956"	NA	chr1	-	148106180	148106232	148105359	148105528	148106941	148107114
270	"ENSG00000263956"	NA	chr1	-	148126828	148127038	148124898	148125001	148127140	148127288
