# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	other_junctions	other_exons
ENSG00000069702_1	ENSG00000069702	ENSG00000069702	1	-	ENSG00000069702:t:91861471-91862047;ENSG00000069702:s:91861471-91862047	ENSG00000069702_1_other	True	91862046-91863839	91861471-91862047;91863838-91864279
ENSG00000213064_1	ENSG00000213064	ENSG00000213064	1	+	ENSG00000213064:t:168242501-168253021	ENSG00000213064_1_other	True	168249427-168253522	168242501-168253021;168253522-na
ENSG00000271383_1	ENSG00000271383	ENSG00000271383	1	+	ENSG00000271383:s:149475045-149476107;ENSG00000271383:t:149478880-149479094	ENSG00000271383_1_other	True	149475795-149477945;149476107-149478880;149478047-149478880	149475045-149476107;149477945-149478047;149478880-149479094
ENSG00000271383_6	ENSG00000271383	ENSG00000271383	1	+	ENSG00000271383:s:149549775-149549947	ENSG00000271383_6_other	False		
ENSG00000291217_1	ENSG00000291217	ENSG00000291217	1	-	ENSG00000291217:s:243067621-243067722	ENSG00000291217_1_other	True	243066241-243067091;243067287-243067625;243067722-243069581;243069704-243078988	243066073-243066241;243067091-243067287;243067621-243067722;243069581-243069704;243078988-243079052
ENSG00000132854_1	ENSG00000132854	ENSG00000132854	1	-	ENSG00000132854:s:62272873-62275087;ENSG00000132854:s:62253063-62253209	ENSG00000132854_1_other	True	62247672-62253067;62253209-62263092;62266819-62268287;62268505-62271478;62272791-62273204;62275087-62281549	62247472-62247672;62253063-62253209;62263092-62263424;62266732-62266819;62268287-62268505;62271478-62272792;62272873-62275087;62281549-62281634
ENSG00000290385_1	ENSG00000290385	ENSG00000290385	1	-	ENSG00000290385:t:502187-502243	ENSG00000290385_1_other	True		
ENSG00000143624_4	ENSG00000143624	ENSG00000143624	1	+	ENSG00000143624:s:153764690-153764734	ENSG00000143624_4_other	True	153764734-153766475	153764690-153764734;153766475-153767827
ENSG00000203710_1	ENSG00000203710	ENSG00000203710	1	+	ENSG00000203710:s:207569847-207570653	ENSG00000203710_1_other	True	207545484-207545576;207545678-207547271;207547356-207550735;207550953-207551964;207552143-207552752;207552851-207558538;207558623-207559050;207559484-207560739;207561137-207563864;207564040-207564132;207569238-207569847;207570645-207575595;207575680-207577805	207545308-207545484;207545576-207545678;207547271-207547356;207550735-207550953;207551964-207552143;207552752-207552851;207558538-207558623;207559050-207559484;207560739-207561137;207563864-207564040;207564132-207564234;207569059-207569238;207569847-207570653;207575595-207575680;207577805-207578203
ENSG00000268043_3	ENSG00000268043	ENSG00000268043	1	+	ENSG00000268043:t:146991995-146992046	ENSG00000268043_3_other	False		
ENSG00000271425_2	ENSG00000271425	ENSG00000271425	1	-	ENSG00000271425:s:146156480-146156815;ENSG00000271425:t:146144907-146145061;ENSG00000271425:s:146164751-146165010	ENSG00000271425_2_other	True	146145061-146156480;146145061-146164751;146156815-146164809	146144907-146145061;146156480-146156815;146164751-146165010
ENSG00000225334_1	ENSG00000225334	ENSG00000225334	1	+	ENSG00000225334:t:224773173-224773350	ENSG00000225334_1_other	False		
ENSG00000078369_3	ENSG00000078369	ENSG00000078369	1	-	ENSG00000078369:s:1876582-1876806	ENSG00000078369_3_other	True	1854163-1858597;1858772-1876583;1876806-1879787	1853996-1854163;1858597-1858772;1876582-1876806;1879787-1879902
ENSG00000213366_1	ENSG00000213366	ENSG00000213366	1	+	ENSG00000213366:s:109683207-109683997;ENSG00000213366:t:109705231-109709551	ENSG00000213366_1_other	False		
ENSG00000221978_1	ENSG00000221978	ENSG00000221978	1	-	ENSG00000221978:t:1387777-1387869	ENSG00000221978_1_other	False		
ENSG00000143771_1	ENSG00000143771	ENSG00000143771	1	+	ENSG00000143771:s:224375795-224379459	ENSG00000143771_1_other	True		
ENSG00000134371_2	ENSG00000134371	ENSG00000134371	1	+	ENSG00000134371:t:193236256-193236356	ENSG00000134371_2_other	False		
ENSG00000116793_1	ENSG00000116793	ENSG00000116793	1	-	ENSG00000116793:s:113749522-113749589	ENSG00000116793_1_other	False		
ENSG00000286185_4	ENSG00000286185	ENSG00000286185	1	+	ENSG00000286185:t:149487332-149487383;ENSG00000286185:s:149482175-149482226;ENSG00000286185:s:149487332-149487383	ENSG00000286185_4_other	True	149482226-149486130;149486293-149487332;149487383-149488013	149482175-149482226;149486130-149486293;149487332-149487383;149488013-149488185
ENSG00000135842_4	ENSG00000135842	ENSG00000135842	1	-	ENSG00000135842:t:184823167-184823329	ENSG00000135842_4_other	False		
ENSG00000135842_5	ENSG00000135842	ENSG00000135842	1	-	ENSG00000135842:s:184823167-184823329	ENSG00000135842_5_other	False		
