isoform,compare,Freq,fc,log2FC,uncertainty,isoform_compare,gene_id,gene_name,gene_type,transcript_name,transcript_type,transcript_length,exon_count,junction_count,classification
ENST00000000412,D5/D6,3,1.084819838,0.117126507,1.507349786,ENST00000000412.8 D5/D6,ENSG00000003056.8,M6PR,protein_coding,M6PR-201,protein_coding,2450,7,6,High Confidence
ENST00000000412,F7/D6,3,0.839804134,-0.253989488,3.861515338,ENST00000000412.8 F7/D6,ENSG00000003056.8,M6PR,protein_coding,M6PR-201,protein_coding,2450,7,6,Low Confidence
ENST00000001008,M8/D6,2,0.855566922,-0.225049048,0.151625981,ENST00000001008.6 M8/D6,ENSG00000004478.8,FKBP4,protein_coding,FKBP4-201,protein_coding,3715,10,9,Low Confidence
ENST00000002165,D5/D6,4,0.727293204,-0.459468934,0.600953336,ENST00000002165.11 D5/D6,ENSG00000001036.14,FUCA2,protein_coding,FUCA2-201,protein_coding,2385,7,6,High Confidence
ENST00000002165,M8/D6,2,0.856085182,-0.224277669,1.200276943,ENST00000002165.11 M8/D6,ENSG00000001036.14,FUCA2,protein_coding,FUCA2-201,protein_coding,2385,7,6,Low Confidence
ENST00000002596,M8/D6,2,2.445974433,1.288830524,4.675775716,ENST00000002596.6 M8/D6,ENSG00000002587.10,HS3ST1,protein_coding,HS3ST1-201,protein_coding,7160,2,1,Low Confidence
ENST00000003100,M8/D6,4,1.390812914,0.468610153,5.887877247,ENST00000003100.13 M8/D6,ENSG00000001630.18,CYP51A1,protein_coding,CYP51A1-201,protein_coding,3155,10,9,Low Confidence
ENST00000005257,D5/D6,2,0.844148466,-0.244527753,1.156079557,ENST00000005257.7 D5/D6,ENSG00000006451.8,RALA,protein_coding,RALA-201,protein_coding,2787,5,4,Low Confidence
ENST00000005257,F7/D6,2,1.161969073,0.216571647,0.018419067,ENST00000005257.7 F7/D6,ENSG00000006451.8,RALA,protein_coding,RALA-201,protein_coding,2787,5,4,Low Confidence
ENST00000005259,M8/D6,2,1.313755316,0.393047096,3.000002794,ENST00000005259.9 M8/D6,ENSG00000075790.12,BCAP29,protein_coding,BCAP29-201,protein_coding,2911,8,7,Medium Confidence
