Event_Type	Gene_Name	Gene_Id	PSI_1	PSI_2	PSI_3	DSE	p_value	dPSI	sample_pair	ASE
SE	PUS3	ENSG00000110060.9	0.743188971	0.750755096	0.763956888	Non-DSE	0.007734245	-0.017436402	M8/D6	ENSG00000110060;SE:11:125895789-125895907:125896330-125903170:-
SE	PEX2	ENSG00000164751.15	0.832728152	0.842061455		Non-DSE	0.005149005	-0.026390555	M8/D6	ENSG00000164751;SE:8:76986296-76988307:76988338-76999990:-
SE	ZKSCAN5	ENSG00000196652.12	0.582658221	0.594887554	0.585062874	Non-DSE	0.402202755	0.011519781	M8/D6	ENSG00000196652;SE:7:99519909-99520169:99520304-99525813:+
SE	RHBDD2	ENSG00000005486.17	0.466873481	0.473263787	0.475165144	Non-DSE	0.001165731	0.006352969	M8/D6	ENSG00000005486;SE:7:75879260-75881365:75881486-75881829:+
SE	ZC2HC1A	ENSG00000104427.13	0.211864058	0.203234888	0.202304572	Non-DSE	0.045525308	0.018299277	M8/D6	ENSG00000104427;SE:8:78698513-78711990:78712106-78715221:+
SE	HMGXB4	ENSG00000100281.14	0.508436671	0.521129345	0.524290817	up-regulate	8.02755E-05	0.058296417	M8/D6	ENSG00000100281;SE:22:35263874-35263982:35264096-35264648:+
SE	PAICS	ENSG00000128050.9	0.000179526	0.00019893	0.000209766	Non-DSE	0.072891422	5.97733E-06	M8/D6	ENSG00000128050;SE:4:56441860-56446357:56446377-56446695:+
SE	ZNF146	ENSG00000167635.12	0.781136879	0.783617463	0.778685335	Non-DSE	0.000881001	0.021376974	M8/D6	ENSG00000167635;SE:19:36215196-36218122:36218195-36228748:+
SE	HNRNPAB	ENSG00000197451.12	0.367457568	0.373984895	0.377410451	up-regulate	0.000367351	0.107677212	M8/D6	ENSG00000197451;SE:5:178209447-178210132:178210272-178210553:+
SE	HNRNPDL	ENSG00000152795.18	0.557912136	0.568248101	0.566427526	Non-DSE	0.387538293	0.079919458	M8/D6	ENSG00000152795;SE:4:82424883-82425563:82425667-82426037:-
SE	ERP29	ENSG00000089248.7	0.650193179	0.667779801	0.646097601	down-regulate	0.000429156	-0.074553065	M8/D6	ENSG00000089248;SE:12:112013609-112019756:112019894-112022150:+
SE	HLA-DQB1	ENSG00000179344.17	0.280273579	0.281922531	0.283144052	Non-DSE	-0.149745114	-0.093173688	M8/D6	ENSG00000179344;SE:6:32660249-32660859:32660882-32661347:-
SE	ABI1	ENSG00000136754	0.352365816	0.33991978	0.372556925	up-regulate	0.002714894	0.071308209	M8/D6	ENSG00000136754;SE:10:26751783-26759062:26759235-26765218:-
SE	EED	ENSG00000074266	0.16453809	0.181250027	0.172498847	down-regulate	0.001948925	-0.099467204	M8/D6	ENSG00000074266;SE:11:86268561-86270083:86270157-86276980:+
RI	CCNT2	ENSG00000082258.13	0.612505862	0.580766359	0.616883649	Non-DSE	0.678839414	-0.016352833	M8/D6	ENSG00000082258;RI:2:134953230:134954379-134954481:134959342:+
RI	DZIP3	ENSG00000198919.13	0.232543809	0.250659919	0.275858191	Non-DSE	0.008210698	0.029800945	M8/D6	ENSG00000198919;RI:3:108647943:108648112-108648918:108648962:+ M8/D6
RI	TMEM250	ENSG00000238227.8	0.944851217	0.946880288	0.945181778	Non-DSE	0.000413223	0.020488042	M8/D6	ENSG00000238227;RI:9:136114589:136114950-136115456:136117024:-
RI	MARCHF6	ENSG00000145495.16	0.550468902	0.576173804	0.50845121	Non-DSE	0.237990003	0.020347825	M8/D6	ENSG00000145495;RI:5:10400784:10400842-10402059:10402139:+
RI	ARGLU1	ENSG00000134884.15	0.853661391	0.845123837	0.867286445	Non-DSE	0.565097131	0.052280008	M8/D6	ENSG00000134884;RI:13:106557048:106557131-106559432:106559657:-
MX	CALU	ENSG00000128595	0.731874849	0.706738881	0.749482592	Non-DSE	0.001640942	-0.043868398	M8/D6	ENSG00000128595;MX:7:128748804-128754262:128754455-128758871:128748804-128754529:128754722-128758871:+
A3	WSB1	ENSG00000109046.15	0.816116832	0.788286238	0.806208767	up-regulate	0.049819643	0.066254102	M8/D6	ENSG00000109046;A3:17:27306882-27307744:27306882-27309100:+
A3	BOLA2-SMG1P6	ENSG00000261740	0.413603233	0.421660724	0.45943264	up-regulate	0.014934222	0.19459674	M8/D6	ENSG00000261740;A3:16:29447026-29454016:29446922-29454016:-
A5	H2AC6	ENSG00000180573.10	0.060517279	0.061387414	0.062548655	Non-DSE	0.010237952	-0.012991864	M8/D6	ENSG00000180573;A5:6:26124749-26138054:26124633-26138054:+
A5	BUD31	ENSG00000106245.11	0.188429321	0.193227753	0.229252482	Non-DSE	0.000368442	0.042456793	M8/D6	ENSG00000106245;A5:7:99409245-99410034:99409004-99410034:+
AL	BCCIP	ENSG00000107949.17	0.708247774	0.691340979	0.685575702	Non-DSE	0.30073267	0.016856254	M8/D6	ENSG00000107949;AL:10:125833946-125836104:125836551:125833946-125841255:125842805:+
AL	ZNF880	ENSG00000221923.9	0.721020964	0.707421252	0.737038054	up-regulate	5.9944E-06	0.367697129	M8/D6	ENSG00000221923;AL:19:52374427-52379421:52380075:52374427-52383849:52385795:+
SE	HSF2	ENSG00000025156.13	0.485853626	0.500820676	0.470452087	Non-DSE	0.133180627	-0.108719803	M8/D6	ENSG00000025156;SE:6:122423686-122427903:122427956-122431430:+
SE	IVNS1ABP	ENSG00000116679.16	0.463441942	0.463499145	0.455892916	Non-DSE	0.021063319	0.032035732	M8/D6	ENSG00000116679;SE:1:185305643-185306485:185306625-185307014:-
SE	RIPK2	ENSG00000104312.8	0.728554403	0.718750104	0.733760871	Non-DSE	0.000336941	0.033951291	M8/D6	ENSG00000104312;SE:8:89758233-89762829:89762982-89765341:+
SE	IFT46	ENSG00000118096.10	0.106187357	0.10085729	0.114856607	Non-DSE	0.086095823	-0.006939501	M8/D6	ENSG00000118096;SE:11:118557045-118557738:118557890-118559785:-
MX	PRR3	ENSG00000204576.12	0.283704156	0.275937692	0.284283758	down-regulate	0.000271844	-0.064554441	M8/D6	ENSG00000204576;MX:6:30557450-30558150:30558212-30561834:30557450-30561328:30561508-30561834:+
MX	NCF2	ENSG00000116701.16	0.122497954	0.133389279		Non-DSE	0.006302453	0.033299295	M8/D6	ENSG00000116701;MX:1:183570839-183573185:183573292-183577599:183570839-183574487:183574621-183577599:-
MX	RAB28	ENSG00000157869.16	0.819125968	0.786967337	0.794087176	Non-DSE	0.965663922	0.014862893	M8/D6	ENSG00000157869;MX:4:13368650-13369871:13369965-13376545:13368650-13371795:13371867-13376545:-
A3	ALKBH2	ENSG00000189046.11	0.846733375	0.849906271	0.839204266	Non-DSE	0.007549133	0.003691103	M8/D6	ENSG00000189046;A3:12:109092937-109093247:109092787-109093247:-
A5	MTFR2	ENSG00000146410.12	0.33038376	0.386573585	0.379313817	Non-DSE	0.012767245	0.053340777	M8/D6	ENSG00000146410;A5:6:136249153-136249976:136249153-136250264:-
A5	HBP1	ENSG00000105856.14	0.433134202	0.480720184	0.530012949	Non-DSE	0.67738397	0.061145432	M8/D6	ENSG00000105856;A5:7:107169185-107179879:107169027-107179879:+
AF	TFEB	ENSG00000112486.18	0.942433257	0.927406481	0.93305355	up-regulate	0.035152429	-0.001128221	M8/D6	ENSG00000112561;AF:6:41691235-41705647:41705940:41691235-41723461:41723726:-
AF	IDH1	ENSG00000138413.14	0.376818535	0.420236029	0.385901951	Non-DSE	9.57157E-06	-0.005244764	M8/D6	ENSG00000138413;AF:2:208253959-208254031:208254322:208253959-208254343:208254458:-
AF	EIF5A	ENSG00000132507.18	0.626489794	0.650696976	0.630974766	down-regulate	0.12880373	0.049419667	M8/D6	ENSG00000132507;AF:17:7306999:7307115-7309615:7308371:7308575-7309615:+
AL	ZFP41	ENSG00000181638.20	0.077723569	0.071357413	0.083148451	Non-DSE	0.029444818	0.023114889	M8/D6	ENSG00000181638;A5:8:143247749-143249690:143247142-143249690:+
AL	ARMC7	ENSG00000125449.7	0.2365575	0.25911724	0.245679936	Non-DSE	0.007753684	-0.005545143	M8/D6	ENSG00000125449;AL:17:75110606-75114169:75114826:75110606-75128677:75130272:+
A5	XRCC4	ENSG00000152422.16	0.011182551	0.011916597	0.010819329	Non-DSE	0.045164957	0.000430447	M8/D6	ENSG00000152422;A5:5:83077662-83104910:83077615-83104910:+
SE	IKBIP	ENSG00000166130.15	0.644002904	0.652474998	0.620875723	Non-DSE	0.004017746	-0.080488944	M8/D6	ENSG00000166130;SE:12:98614340-98634296:98634413-98644523:-
SE	C1orf43	ENSG00000143612.21	0.299617746	0.319557049	0.280970966	Non-DSE	0.087607145	-0.083551175	M8/D6	ENSG00000143612;SE:1:154214574-154219836:154219937-154220342:-
SE	FCGR2B	ENSG00000072694.22	0.931618556	0.940213982	0.928641973	Non-DSE	0.000915662	0.082134045	M8/D6	ENSG00000072694;SE:1:161674073-161675257:161675313-161677328:+
SE	CIAO2A	ENSG00000166797.11	0.359838076	0.29912886	0.32652256	down-regulate	0.43700017	-0.042684389	M8/D6	ENSG00000166797;SE:15:64075537-64081102:64081151-64088687:-
SE	THEM4	ENSG00000159445.13	0.411941975	0.441051496	0.419610304	Non-DSE	0.003169551	0.000609194	M8/D6	ENSG00000159445;SE:1:151889373-151889983:151890214-151895008:-
SE	ZNF35	ENSG00000169981.11	0.4819206	0.4635455	0.4434249	Non-DSE	0.19088489	-0.023169602	M8/D6	ENSG00000169981;SE:3:44651259-44652557:44652701-44658701:+
AF	SNAPC2	ENSG00000104976.13	0.25307286	0.097842077	0.0726538	Non-DSE	0.040111121	-0.32554619	M8/D6	ENSG00000104976;AF:19:7920338:7920549-7921423:7921015:7921119-7921423:+
AF	FBXO5	ENSG00000112029.10	0.778386266		0.786651987	Non-DSE	1.15557E-06	0.312472647	M8/D6	ENSG00000112029;AF:6:152975621-152982857:152983041:152975621-152983234:152983579:-
AL	TPGS2	ENSG00000134779.15	0.000210213	0.000182879		Non-DSE	0.126077335	-0.00023365	M8/D6	ENSG00000134779;AL:18:36777647:36780188-36798449:36786573:36787079-36798449:-
SE	TMEM263	ENSG00000151135.10		0.001937706	0.002272096	Non-DSE	0.027846752	-0.004434873	M8/D6	ENSG00000151135;SE:12:106956065-106957082:106957149-106967111:+
A3	OAS1	ENSG00000089127.15	0.762362547	0.683757782	0.736733534	up-regulate	0.597323737	0.367925142	M8/D6	ENSG00000089127;A3:12:112917700-112918597:112917700-112919389:+
SE	EIF4H	ENSG00000106682.16	0.094827685	0.100382433	0.095444538	Non-DSE	0.002646533	0.052869865	M8/D6	ENSG00000106682;SE:7:74189918-74190247:74190306-74194741:+
SE	CD200	ENSG00000091972.18	0.129363423	0.133845976	0.147222259	Non-DSE	0.000202454	-0.040159193	M8/D6	ENSG00000091972;A3:3:112345288-112347558:112345288-112347563:+
SE	C1orf52	ENSG00000162642.14	0.555691337	0.568795214	0.56691384	Non-DSE	0.003087408	-0.014871722	M8/D6	ENSG00000162642;SE:1:85258722-85258935:85259061-85259358:-
SE	FZD3	ENSG00000104290.11	0.264711655	0.245649556	0.283020092	Non-DSE	0.00072624	-0.130281805	M8/D6	ENSG00000104290;SE:8:28494343-28499933:28499978-28502670:+
MX	COA1	ENSG00000106603.20		0.282625895	0.399792448	Non-DSE	0.120955317	0.036339185	M8/D6	ENSG00000106603;MX:7:43648652-43650493:43650712-43729429:43648652-43665658:43665722-43729429:-
A3	OSR2	ENSG00000164920.10		0.262476413	0.270930572	Non-DSE	0.097848447	0.002297259	M8/D6	ENSG00000164920;A3:8:98950755-98951519:98950755-98951601:+
SE	PUS3	ENSG00000110060.9	0.680963337	0.730110399	0.72154721	down-regulate	0.042018674	-0.059196404	F7/D6	ENSG00000110060;SE:11:125895789-125895907:125896330-125903170:-
SE	PEX2	ENSG00000164751.15	0.864003303	0.866483211	0.849676761	Non-DSE	0.678441127	-0.003730933	F7/D6	ENSG00000164751;SE:8:76986296-76988307:76988338-76999990:-
SE	ZKSCAN5	ENSG00000196652.12	0.548011443	0.549238182	0.549365176	Non-DSE	0.011536356	-0.027144836	F7/D6	ENSG00000196652;SE:7:99519909-99520169:99520304-99525813:+
SE	RHBDD2	ENSG00000005486.17	0.48210281	0.486072917	0.470982067	Non-DSE	0.003272776	0.014304763	F7/D6	ENSG00000005486;SE:7:75879260-75881365:75881486-75881829:+
SE	ZC2HC1A	ENSG00000104427.13	0.220079749	0.210631117	0.204886808	Non-DSE	0.279696509	0.024363995	F7/D6	ENSG00000104427;SE:8:78698513-78711990:78712106-78715221:+
SE	HMGXB4	ENSG00000100281.14	0.529727413	0.51164569	0.517717616	up-regulate	0.000883314	0.060041046	F7/D6	ENSG00000100281;SE:22:35263874-35263982:35264096-35264648:+
SE	ZNF146	ENSG00000167635.12	0.720998891	0.703601033	0.695011501	down-regulate	0.006711949	-0.053232443	F7/D6	ENSG00000167635;SE:19:36215196-36218122:36218195-36228748:+
SE	HNRNPAB	ENSG00000197451.12	0.317422637	0.299687386	0.313491996	Non-DSE	0.008072112	0.044926913	F7/D6	ENSG00000197451;SE:5:178209447-178210132:178210272-178210553:+
SE	HNRNPDL	ENSG00000152795.18	0.490416142	0.511152483	0.509226363	Non-DSE	0.004510111	0.019321866	F7/D6	ENSG00000152795;SE:4:82424883-82425563:82425667-82426037:-
SE	ERP29	ENSG00000089248.7	0.691394296	0.672604647	0.678467673	Non-DSE	0.000802994	-0.048421053	F7/D6	ENSG00000089248;SE:12:112013609-112019756:112019894-112022150:+
SE	HLA-DQB1	ENSG00000179344.17		0.212723632	0.263529644	down-regulate	0.000283369	-0.328790473	F7/D6	ENSG00000179344;SE:6:32660249-32660859:32660882-32661347:-
SE	ABI1	ENSG00000136754	0.286047899	0.262564975	0.262982189	Non-DSE	0.044445509	-0.01310761	F7/D6	ENSG00000136754;SE:10:26751783-26759062:26759235-26765218:-
SE	EED	ENSG00000074266	0.235474751	0.201599507	0.196241908	down-regulate	0.001595151	-0.061124137	F7/D6	ENSG00000074266;SE:11:86268561-86270083:86270157-86276980:+
RI	CCNT2	ENSG00000082258.13	0.648866558	0.664853267	0.657557543	Non-DSE	0.35299578	0.037354333	F7/D6	ENSG00000082258;RI:2:134953230:134954379-134954481:134959342:+
RI	DZIP3	ENSG00000198919.13	0.266043144	0.277342506	0.249328284	Non-DSE	0.01078179	0.041018283	F7/D6	ENSG00000198919;RI:3:108647943:108648112-108648918:108648962:+ M8/D6
RI	TMEM250	ENSG00000238227.8	0.929704387	0.919292063	0.924986785	Non-DSE	0.231126385	-0.00048864	F7/D6	ENSG00000238227;RI:9:136114589:136114950-136115456:136117024:-
RI	MARCHF6	ENSG00000145495.16	0.590452795		0.550946496	Non-DSE	0.356349074	0.046016165	F7/D6	ENSG00000145495;RI:5:10400784:10400842-10402059:10402139:+
RI	ARGLU1	ENSG00000134884.15	0.822258186	0.844019548	0.85638407	Non-DSE	0.492251324	0.037810052	F7/D6	ENSG00000134884;RI:13:106557048:106557131-106559432:106559657:-
MX	CALU	ENSG00000128595	0.816222161	0.744393252	0.748266789	down-regulate	-0.127856035	-0.111188905	F7/D6	ENSG00000128595;MX:7:128748804-128754262:128754455-128758871:128748804-128754529:128754722-128758871:+
A3	WSB1	ENSG00000109046.15	0.817130683	0.856991132		Non-DSE	0.189494676	0.09977773	F7/D6	ENSG00000109046;A3:17:27306882-27307744:27306882-27309100:+
